연번,piece,road,LINK_ID,dist_m,ROAD_NAME,name_match,road_in_daejeon_nodelink,f1,f2,f3,f4
1,계족로330번길,계족로330번길,1830033602,90.7,우암로,False,False,108.86898097913246,38.38709048332394,2,104
1,계족로336번길,계족로336번길,1830011103,68.3,계족로,False,False,1.6400456182785058e-05,inf,3,104
2,동대전로110번길,동대전로110번길,1830025107,9.2,동대전로,False,False,0.0,inf,2,104
2,대동 산 1번지,,1830123807,104.3,백룡로,False,False,4.782480925046858,47.221068828536545,2,104
3,역전시장길7,역전시장길,1830051300,58.8,중앙로,False,False,123.78034050780302,inf,3,104
3,역전시장길75,역전시장길,1830020502,75.0,대전로,False,False,0.06306426676729848,249.7920671665136,3,103
4,대전천서로277,대전천서로,1840066100,10.6,대전천서로,True,True,0.012014833577966363,inf,1,104
4,문창로10번길46,문창로10번길,1840066102,29.6,대전천서로,False,False,79.1267706675881,inf,1,104
5,목척3길,목척3길,1840048504,89.3,대종로,False,False,0.0,295.09858202789803,3,104
5,목척5길,목척5길,1840050903,32.1,선화로,False,False,8.537736462515939e-07,1029.8777844820393,1,104
6,진수길,진수길,1830009700,39.4,계족로,False,False,90.71627579615759,2420.583441556936,4,104
6,진보길,진보길,1830009702,33.2,계족로,False,False,101.3512491702312,37.582628189942476,4,104
6,수양길,수양길,1830454201,59.1,동중앙로,False,False,1.9665571623332392,99.61249779223898,2,104
7,대종로601번길,대종로601번길,1840053403,71.6,대종로593번길,False,False,91.71620885685131,inf,1,104
9,대전천북로116번길,대전천북로116번길,1830476803,10.8,대전천북로,False,False,8.537736462515939e-07,170.30351800950174,1,104
10,갈마중로28번길,갈마중로28번길,1850092403,22.5,갈마중로,False,False,6.465609277445515e-05,45.83213698271847,1,104
10,갈마중로30번길,갈마중로30번길,1850092405,41.4,갈마중로,False,False,100.71965032069845,,1,104
10,갈마중로46번길,갈마중로46번길,1850092414,40.2,갈마중로,False,False,1.2074182697257333e-06,2666.967737780862,1,104
11,문정로170번길,문정로170번길,1850097802,38.8,둔산남로,False,False,0.0,534.8983790312757,3,104
12,문정로112번안길,문정로112번안길,1850090202,101.1,문정로,False,False,0.0,891.1376141589601,3,104
12,남선로9번길,남선로9번길,1850068906,68.4,도솔로,False,False,0.0,212.9027929266553,1,104
13,중리로 74-1,중리로,1870022703,8.6,중리로,True,True,87.73977359452097,290.702172634537,1,104
13,중리로64번길 2,중리로64번길,1870022707,7.6,중리로,False,False,0.0,4070892.6834748657,1,104
14,계족산로5번안길 22,계족산로5번안길,1870034503,7.7,계족산로17번길,False,False,0.0,inf,1,104
14,계족로608번길 30,계족로608번길,1870034505,7.7,계족산로17번길,False,False,0.0,inf,1,104
15,대전로1375번길 22-14,대전로1375번길,1870053703,96.2,대전로,False,False,0.0,46.470895185657085,3,103
16,대전로1397번길 50,대전로1397번길,1870053703,167.8,대전로,False,False,0.0,46.470895185657085,3,103
17,청자마을길 28,청자마을길,1870088912,273.3,평촌2길,False,False,0.0,60.021497284608465,1,104
18,태양마을길 28,태양마을길,1870088918,151.6,평촌2길,False,False,0.0,10.095730426024414,1,104
19,동심9길,동심9길,1870484201,106.3,대화로,False,False,96.52909849286384,3839.214595140426,1,104
20,늘봄2길,늘봄2길,1870043600,333.4,대화로,False,False,3.5187484028987726,139.8934371293801,2,104
23,동춘당로31번길,동춘당로31번길,1870018303,129.7,동춘당로15번길,False,False,86.23900450247159,10.076592521620201,1,104
24,신성남로 43,신성남로,1860116900,9.5,신성남로,True,True,77.1303429504005,27.963996138659407,1,104
25,유성대로718번길,유성대로718번길,1860064302,13.5,유성대로720번길,False,False,86.1160063812524,3043.4686769264395,1,104
25,온천서로 38,온천서로,1860065304,8.5,온천서로,True,True,8.537736462515939e-07,457.65316797756736,1,104
26,도마5길 56,도마5길,1850046805,7.2,도마5길,True,True,0.0,825.4076574175567,1,104
27,도솔로175번길,도솔로175번길,1850050102,32.6,도솔로,False,False,1.2074182697257333e-06,4656.190120318062,1,104
28,변정1길,변정1길,1850051500,37.7,변동로,False,False,93.82730144074647,453.69089420993214,1,104
28,변정7길,변정7길,1850049311,49.4,도마로,False,False,0.0,inf,1,104
29,당디로124번길,당디로124번길,1840063702,41.7,당디로,False,False,0.0,inf,1,104
31,충무로68번길,충무로68번길,1840199603,52.6,충무로,False,False,1.7075472925031877e-06,71.90735497832385,3,103
32,보문산공원로530번길,보문산공원로530번길,1840026800,44.8,보문산공원로,False,False,0.049653495705386956,76.07260827255239,2,104
33,대둔산로414번길,대둔산로414번길,1840016905,29.8,산성로,False,False,2.529049171467374,inf,1,104
34,천근로 8,천근로,1840022200,5.7,천근로,True,True,108.12127333471022,824.7989878166342,1,104
35,보문산로122번길,보문산로122번길,1840120400,39.7,사정공원로,False,False,121.88204463924657,63.13681078276419,2,104
35,대둔산로386번길,대둔산로386번길,1840002104,51.8,대둔산로,False,False,8.537736462515939e-07,76.37211592952171,2,106
36,계백로1158번길,계백로1158번길,1850025700,81.8,벌곡로,False,False,84.61379349796971,47.865307314201665,2,104
37,문화로 133,문화로,1840025800,11.1,문화로,True,True,14.02519340199178,15387.304340529961,2,104
37,문화로134번길,문화로134번길,1840025700,63.5,문화로,False,False,2.193555346169493,937.6205637351161,2,104
37,당디로36번길,당디로36번길,1840023700,69.5,산성로,False,False,8.988724333414494,27.364192230426916,2,104
