연번,piece,기준커밋,조회일,road_name,rds_man_no,sig_cd,road_bt_단위미확인,road_lt,ref_nearest_link_id,ref_nearest_link_road_name,ref_nearest_link_dist_m,unmatched_reason,link_id,link_road_name,dist_m,confidence,ref_same_name_link_dist_m
1,계족로330번길,3a36588,2026-09-18,계족로330번길,720.0,30110,4.0,254.0,1830011112,계족로,49.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로330번길,3a36588,2026-09-18,계족로330번길,1079.0,30110,3.0,122.0,1830033605,우암로,82.5,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로330번길,3a36588,2026-09-18,계족로330번길,1087.0,30110,3.0,177.0,1830033602,우암로,59.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로336번길,3a36588,2026-09-18,계족로336번길,1068.0,30110,3.0,116.0,1830011103,계족로,93.7,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로336번길,3a36588,2026-09-18,계족로336번길,1069.0,30110,3.0,145.0,1830473602,계족로368번길,63.7,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로336번길,3a36588,2026-09-18,계족로336번길,1074.0,30110,3.0,43.0,1830011103,계족로,151.2,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로336번길,3a36588,2026-09-18,계족로336번길,7125.0,30110,4.0,62.071,1830011114,계족로,96.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
1,계족로336번길,3a36588,2026-09-18,계족로336번길,719.0,30110,4.0,370.0,1830011112,계족로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
2,동대전로110번길,3a36588,2026-09-18,동대전로110번길,459.0,30110,4.0,1340.0,1830025105,동대전로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
2,대동 산 1번지,3a36588,2026-09-18,,,,,,,,,U4 지번 조각(도로명 없음),,,,,
3,역전시장길7,3a36588,2026-09-18,역전시장길,1683.0,30110,3.0,321.0,1830024902,대전로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
3,역전시장길75,3a36588,2026-09-18,역전시장길,1683.0,30110,3.0,321.0,1830024902,대전로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
4,대전천서로277,3a36588,2026-09-18,대전천서로,1683.0,30140,15.0,7854.0,1840042504,대흥로,0.0,,1840180800,대전천서로,0.0,상,
4,대전천서로277,3a36588,2026-09-18,대전천서로,949.0,30140,15.0,48.0,1840066102,대전천서로,0.4,,1840066102,대전천서로,0.4,상,
4,대전천서로277,3a36588,2026-09-18,대전천서로,948.0,30140,15.0,46.0,1840066102,대전천서로,0.4,,1840066102,대전천서로,0.4,상,
4,문창로10번길46,3a36588,2026-09-18,문창로10번길,545.0,30140,8.0,76.0,1840027803,보문로,88.9,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
4,문창로10번길46,3a36588,2026-09-18,문창로10번길,1032.0,30140,8.0,250.0,1840066305,문창로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척3길,3a36588,2026-09-18,목척3길,1703.0,30140,8.0,279.0,1840048504,대종로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,1692.0,30140,6.0,31.0,1840049600,대전천서로,62.3,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,1704.0,30140,6.0,165.0,1840050903,선화로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,1707.0,30140,6.0,35.0,1840049600,대전천서로,89.3,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,6945.0,30140,2.0,63.687,1840050902,선화로,55.6,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,6946.0,30140,2.0,86.337,1840048504,대종로,60.4,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,6947.0,30140,2.0,86.135,1840048504,대종로,60.7,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,6948.0,30140,6.0,85.96,1840048504,대종로,61.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,6944.0,30140,4.0,85.32,1840050902,선화로,40.6,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,1690.0,30140,6.0,45.0,1840050902,선화로,40.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
5,목척5길,3a36588,2026-09-18,목척5길,1688.0,30140,6.0,73.0,1840049600,대전천서로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
6,진수길,3a36588,2026-09-18,진수길,1607.0,30110,3.0,167.0,1830009700,계족로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
6,진보길,3a36588,2026-09-18,진보길,1595.0,30110,3.0,198.0,1830009702,계족로,0.0,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
6,수양길,3a36588,2026-09-18,수양길,1615.0,30110,3.0,227.0,1830009700,계족로,27.1,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
7,대종로601번길,3a36588,2026-09-18,대종로601번길,194.0,30140,8.0,106.0,1840053403,대종로593번길,81.9,U1 대전 표준노드링크 전체에 같은 도로명 링크 없음,,,,,
