연번,piece,road_name,result,nearest_same_name_m,ref_road_bt,ref_centerline_rdnm_match,error
1,계족로330번길,계족로330번길,있음,17.6,"[3, 4, 3]",False,
1,계족로336번길,계족로336번길,있음,5.9,"[4, 3, 3, 4, 3]",False,
2,동대전로110번길,동대전로110번길,있음,7.8,[4],False,
3,역전시장길7,역전시장길,있음,23.5,[3],False,
3,역전시장길75,역전시장길,있음,18.0,[3],False,
5,목척3길,목척3길,있음,9.0,[8],False,
5,목척5길,목척5길,있음,10.0,"[4, 6, 6, 2, 6, 2, 2, 6, 6, 6]",False,
6,진수길,진수길,있음,7.3,[3],False,
6,진보길,진보길,있음,29.2,[3],False,
6,수양길,수양길,있음,8.2,[3],False,
7,대종로601번길,대종로601번길,있음,13.4,"[8, 8]",False,
9,대전천북로116번길,대전천북로116번길,있음,9.3,[4],False,
10,갈마중로28번길,갈마중로28번길,있음,11.0,"[6, 6]",False,
10,갈마중로30번길,갈마중로30번길,있음,13.6,"[6, 6]",False,
10,갈마중로46번길,갈마중로46번길,있음,10.0,[6],False,
11,문정로170번길,문정로170번길,있음,12.6,"[6, 6]",False,
12,문정로112번안길,문정로112번안길,있음,10.7,"[6, 6, 6]",False,
12,남선로9번길,남선로9번길,있음,9.7,[6],False,
14,계족산로5번안길 22,계족산로5번안길,있음,14.0,[8],False,
14,계족로608번길 30,계족로608번길,있음,11.9,"[8, 8, 8, 8, 8]",False,
15,대전로1375번길 22-14,대전로1375번길,있음,8.3,"[3, 3, 3, 3, 3]",False,
16,대전로1397번길 50,대전로1397번길,있음,7.9,"[5, 5, 5, 5]",False,
17,청자마을길 28,청자마을길,있음,7.9,"[5, 5, 5, 5]",False,
18,태양마을길 28,태양마을길,있음,8.9,[5],False,
19,동심9길,동심9길,있음,7.3,"[3, 1.4]",False,
20,늘봄2길,늘봄2길,있음,6.4,[4],False,
23,동춘당로31번길,동춘당로31번길,있음,10.3,[3],False,
27,도솔로175번길,도솔로175번길,있음,10.6,[6],False,
28,변정1길,변정1길,있음,22.3,[6],False,
28,변정7길,변정7길,있음,25.7,[6],False,
29,당디로124번길,당디로124번길,있음,12.4,[8],False,
31,충무로68번길,충무로68번길,있음,9.2,[6],False,
32,보문산공원로530번길,보문산공원로530번길,있음,12.4,"[5, 5, 5, 5, 5]",False,
33,대둔산로414번길,대둔산로414번길,있음,7.4,[6],False,
35,보문산로122번길,보문산로122번길,있음,10.1,"[6, 5]",False,
35,대둔산로386번길,대둔산로386번길,있음,12.4,"[4, 4]",False,
36,계백로1158번길,계백로1158번길,있음,7.7,"[8, 8]",False,
