p,n,x0,x1,y0,y1,xm,ym
100,1944,195859.66273120762,202069.36037929024,551809.0893656584,557497.6543000005,198167.33292252454,552930.8918686099
101,1696,196735.93538784055,202152.8310192328,549797.5234797484,552500.7878389567,199530.65825979598,551490.4823101935
102,1978,195084.4219999998,201334.57803056575,545465.6794008423,550837.0570706537,197693.41980681353,548308.9832080018
103,1753,200877.5342491037,206514.3723243422,548213.5682499995,552613.8925641709,203351.46080995532,550136.646184257
104,1595,205065.93403187496,210043.32706783884,547520.060985388,552466.4240882553,207446.73888683022,549508.9166626923
105,2182,202046.1863500001,206855.27647606016,551223.1783899986,556415.7041109597,205080.2563429244,553083.0001155671
106,2382,206185.66960000014,210450.89122381236,552365.6572150209,557910.8089060623,207784.19676199614,555730.3562885944
107,2693,198535.64850221446,206277.03099999996,553051.7106036996,558308.32215939,201989.4316193204,555995.0745768409
108,1689,200159.98925079394,204345.20084999967,556663.5284499992,562857.2630540347,202008.17058894096,559002.4629280736
109,1919,201204.6564511885,204889.31445143442,559083.2556274716,565920.3028417169,203670.99738440983,562106.8871013435
110,3213,203685.47210885934,209776.95259248276,557171.6664146008,565483.7072189532,206127.8528454304,560710.2409477746
111,2697,189621.48417510788,195631.2678376492,553095.3644600589,562111.2152939024,192833.20781169186,556399.2349235865
112,1869,191418.47373014723,197250.24301020752,550632.6109448259,556207.1026073829,194292.49844165024,552801.0286559351
113,3059,187533.28484999994,196674.72868400277,548364.9017000003,554315.8020483395,192695.29798347488,550606.8127314481
114,2468,184249.38566629248,191268.91537119093,541463.6467083914,549962.9201365793,187332.83516913443,547044.3224084589
115,4189,179471.01251816656,189434.56233728258,547480.7689375789,555456.0385471347,185618.32567789656,551007.423939267
116,3112,183687.19411836134,191428.40321584296,541574.42593669,546206.0646460899,187872.5309162559,544106.8674700018
117,1492,188801.2649533758,193048.1077499984,537193.5541563556,543016.022347931,190915.25613463935,540688.2633067055
118,3796,189174.33972412345,195361.62942439716,542868.7356635772,550413.5962859555,191566.39778883627,546675.4611543863
119,1727,191680.4647384072,198667.60188326432,541796.658961134,546455.2275999999,195083.44403392845,544732.3097999999
120,1916,191126.05695000011,198809.35920376345,538775.047986383,543908.8056048625,194517.5686526601,542176.2134530633
121,3027,198207.82385000028,208489.7977038449,536880.0377983302,547216.4476000005,201436.84696250389,542887.8990485969
122,4712,201161.65046533203,211055.02057688936,540156.8354615616,548475.8279338675,204381.90807156297,544763.4084191313
123,3644,206005.4827978469,214221.69860033877,540875.0135986556,549234.3733563384,210823.12870749302,544512.0881845852
124,2631,209791.51651104953,216162.58254072198,546409.5335125669,553146.6509999996,212679.2834904049,549936.5631479492
130,505,384288.4899194478,386319.5488356865,279664.68577456864,281749.489008257,385342.72924999986,280425.1108795574
131,876,382693.93625764875,385213.33924871753,275241.43955000024,283179.8540926754,383998.2420328409,280419.5717134052
132,951,385025.0735057583,388384.82993449643,281074.5449747234,285032.3120847368,386528.98763194354,283121.4078427271
133,1078,385398.6106805728,390146.6015702795,275748.36126146826,281041.0188368905,388176.43667755404,278560.2448619603
134,2418,383503.4293081245,389657.02173492237,284716.3114947875,291110.4712448695,386842.65807373065,286848.0907126538
135,1926,386599.120259039,392847.069929022,289525.16714664537,294171.5515314558,389812.47473137075,291630.51082069706
136,1817,388032.4610555818,393816.74548728205,280330.61759999953,286857.3406499997,390551.19075345725,283586.0827419851
137,1923,381059.6729866834,386931.9100698487,290549.8640515617,299517.7232429546,383382.66237815074,294153.48076352273
138,3660,391984.3282559954,401062.3048222671,286269.2701112762,295567.1178342091,396447.48622295546,288389.42224342725
139,2759,376375.46643748647,383708.3451727579,273975.91877294605,282187.7853003525,380078.67761633586,278327.59109766845
140,2662,386353.5162673894,394845.11074631376,292467.93262257637,303249.5344455675,390472.4691255419,295714.2266969613
141,9679,360589.80273238523,381660.12915800745,269243.7159875721,294783.0686113563,371667.2055039344,281168.6284114416
142,1500,386462.6649284373,392755.95614535897,286820.00281750516,291387.52412237716,389377.7849198874,289746.99922043504
143,1139,390605.24782189867,394628.69721683103,284177.76387231715,289608.0424001727,392843.1868869616,286666.7188854206
144,2187,378771.87284994486,383751.1473059887,282130.49804283574,290948.77455804177,380528.4888007868,286056.14266081934
145,7836,391957.96788602794,408544.9879523979,289630.57684010034,311939.630835712,401783.4204069942,300957.0080536365
150,1263,342140.24256796355,345793.84067311883,363138.66432561923,366034.98350152455,343947.9085582465,364539.55839536776
151,6727,344999.0007526532,358856.2137761292,363767.4222656974,378913.48554330855,352756.42653136404,365865.2690638944
152,1448,337761.5780810093,342741.50310372596,362986.2792233564,367408.29798098817,340246.24019901885,364937.4131857116
153,1283,340577.1489171271,345332.830406131,360072.2194828478,363653.02590381436,343695.4491670483,361657.31722707616
154,7810,336096.4148562043,347310.1231681764,365287.577489808,375260.99676137086,342156.84233939194,370496.4682193825
155,5171,344352.3554736534,355969.35961950227,357589.8710877199,365796.3680098317,348694.29638718785,361642.4340209473
156,6989,332917.10874999966,343261.40267578006,356212.52899025945,364260.8581075837,337586.7912987551,361334.27321822336
157,9861,322757.2686981015,352204.9744500001,335430.08846971544,372169.68803310243,331769.8759098001,353538.4679025582
163,2681,167116.39548424698,173716.23816875948,536866.7125390535,542795.5209667955,170165.5101231386,539649.6285836024
164,5008,163036.93864131373,174299.03788908897,527616.2770829872,537808.4962495929,169223.51386848252,533487.893643469
165,5566,170516.8319332794,180345.4553461927,531297.1356039061,542403.1068502868,174430.20795935873,535397.320353681
166,3215,172122.7009703019,178734.72862974834,540681.3039130798,547371.5857469025,175472.86852196069,544675.1623032354
167,2456,172180.13353654448,182027.19876857504,547057.5391029071,554597.8175792344,176677.2999826467,548750.3022224153
169,3408,132582.91435853377,159257.50550111406,554791.4666653196,581072.6703635314,152985.5932322096,569622.0304201726
170,845,120489.52921749037,159102.20025700983,513042.6851371547,549565.6812486743,152372.05688248575,517675.67220378923
171,2005,164009.6778137423,171173.48423987918,536608.2978870017,544375.8023538345,166891.75660301425,541619.8001048244
172,6605,143118.37180889028,163128.84154739734,530750.6680643325,549584.9045865193,155963.42352723615,543401.0083201515
173,6484,163070.7854609111,174043.8606076535,541648.5498531321,552655.2831260212,169676.93915405107,548035.3096114116
174,3890,162738.2547586229,175559.21521668718,551529.7626999998,558719.2974239724,170893.6435901571,555185.5439704241
175,2007,191565.9876986346,197360.51052675868,275775.8840565812,285466.3193264953,193503.7691763122,283223.9757288821
176,8078,182156.69750135732,191743.69087257818,277310.22277974396,286808.6331380545,187337.9792761608,283324.77834964776
177,4243,177722.74270347736,193592.00214338046,272910.96654500085,284022.6193130674,190512.39232438867,280360.8549504479
178,9121,184982.04512453373,200923.92254242083,282985.8169,295464.76914065884,190289.0070549344,288630.2562703863
179,14389,167827.54621847777,187100.30569777795,275346.25531816576,295123.23519631603,182473.43428478343,287570.52679320844
183,3764,237143.30539923158,248397.18916683827,400282.5747936672,425147.62651115307,240637.44374951214,414547.89634205366
184,2902,233487.16173364728,241012.75475600973,401694.30086507864,416823.89513834787,236718.1253597191,413555.9605688865
185,5642,225077.24875411208,236365.72199012648,399762.1387499999,419688.47614520823,233628.7123524382,415304.736335169
186,9569,222183.09771829186,237412.95564453048,407484.28545445343,432924.27734823123,230367.83495655033,419837.0650280621
187,3594,235081.87196140672,242749.37226974312,416042.96980186016,430908.637392356,237929.5579912013,419685.34590790776
192,4893,404646.4747412078,413361.1345148329,330317.28566635266,335836.1629363843,410466.8999811269,333114.19398671406
193,7477,403476.00613578025,416678.7533831532,320604.97109875607,331143.91548501595,411224.4763002973,329104.016102956
194,2031,417130.40471016197,422857.71134682535,322459.8151413826,333275.1970679016,420175.17458584957,325383.92494868196
195,7593,408065.97928077367,423209.4215233433,327576.75080405234,344481.0160325527,413891.35690644744,337988.35211264854
196,16810,382199.1646012796,415095.5673339735,306615.64697484544,349284.7251031877,400705.9321013356,330279.2199553439
200,2223,196682.75534030405,202934.0195452814,520727.48050609545,527482.0111859237,199373.70199529384,522317.0047356589
201,4895,194058.7984769896,203704.69974603917,514355.8765749589,522564.85026064655,198116.08278653986,517782.99903257354
202,1647,198023.5889513545,203898.254138718,517482.9143371957,521615.9181263976,201279.28884815756,519876.27644058975
203,2686,202762.82375466346,207695.65606025403,514723.1841744982,524092.3129963835,204985.9857280683,518205.73480362224
204,2629,205995.03743514512,215438.4951076407,533181.185051892,541620.62508461,211344.0422606598,538950.2743061677
205,2055,210309.40705150494,217507.23987397546,534518.2091333733,541615.0723123504,214362.23608155333,537339.4438322306
206,5996,203490.97243486298,213998.6500047638,526085.7729954589,535467.5638789701,210334.5870275546,531214.423335684
207,7639,200662.3990654213,210724.1438795639,565237.2481605161,575279.1631986705,205278.61554951733,571480.0301252614
208,2276,189231.71018663122,194963.05694917648,530218.3272984074,538657.424318842,192340.88455696433,533709.1522835372
209,2586,193480.56189170823,198396.06263303023,529148.5041763198,536072.3336800413,196335.08226132608,532562.9507283613
213,2516,185122.4778992833,191107.487732842,533657.9634492539,543919.7827966091,188962.337213194,539225.6455890664
214,19005,181575.86260789703,213637.93951727095,478244.88469484885,504027.57149214717,204394.15486595564,489954.1929690121
215,3547,200954.927146395,212340.6463474511,584889.1355782462,597663.7323106319,204953.81400978263,589173.2563588929
216,4191,183690.9856830675,194502.6693782393,519458.70450555615,530208.1223820036,187449.4800116917,522983.7850635517
217,8196,159291.2696049033,186078.9816017496,510443.9131605443,529286.0809046684,180580.18427963628,523970.08319373766
218,7769,180148.73395820046,196837.53800262767,552964.33885,571973.5295144778,187891.70855192398,560469.4208725684
219,3068,171731.0577289904,180571.9791001801,561238.6415285341,567387.7538000001,178306.51487837362,565056.4507572872
220,1133,197780.6450011501,202973.61377305945,533775.0322941864,540083.6126519348,199655.04911389825,536439.240304145
221,2329,209325.26550545814,214763.83025352797,551163.6552658133,560693.1108659683,211997.95089581667,556087.4360636219
222,11502,208306.98472981542,233160.05612049258,546122.4093042675,574875.7997207013,218143.72819924518,561655.8111875576
223,4669,199335.6268368548,208572.1704416571,503038.88285089855,511260.54294298554,204925.76578503932,506756.5329580402
224,12828,167311.87980529098,189335.5248842176,523421.13033414783,541386.6713312592,177526.9408420378,528875.4567823028
225,3395,189137.96903265538,196653.24647976278,522917.71316890046,530980.7124974797,194413.3155329912,527330.3586895114
226,2585,193778.46302842005,203313.0947814785,522542.309132095,534209.2636208758,197723.96947936402,528439.8425212033
227,3638,212465.565988777,225064.31194444041,540985.1774418917,554579.2183080998,217191.07449326123,549049.6430393264
229,13502,167102.9164256018,201294.7279614175,565893.1236977887,600282.2756561501,179710.0548831966,574664.0432578485
230,9335,230000.04891664133,256654.98653535105,493944.459753372,527590.8690737754,240866.44790887716,517108.11251336016
231,10764,209496.6611502596,245870.14202367663,478469.85551645956,505400.4891236179,223201.77918198047,490748.9747292133
232,10292,158129.90691733925,182426.74599912434,553635.9531416139,574358.817616334,169431.280314864,560073.4714916997
233,29026,166009.00461103808,213269.215027286,490681.1532952606,521447.49902427534,192618.06457844126,509786.92725443456
234,7716,212877.5035142104,239425.22921015782,519093.88375000004,548186.018952636,223007.03762562675,532445.9415414787
235,8972,191795.5188312855,210445.8556591341,563163.5374026052,592417.6865647248,204166.03793461545,580465.5219131943
