link_id,hop,lanes,hydrant_dist_m,hydrant_id,c1_turnaround,c2_hydrant_dist_m,c3_no_block_pump_retreat,c5_not_deploy_link
1020007604,3,1,8.0,용산-이태-000232,보류 D,8.0,False,True
1020008701,3,1,13.0,용산-이태-000232,보류 D,13.0,True,True
1020009500,3,1,17.1,용산-이태-000663,보류 D,17.1,False,True
1020009501,3,1,27.5,용산-이태-000663,보류 D,27.5,True,True
1020009600,2,1,11.5,용산-이태-000232,보류 D,11.5,False,True
1020009601,2,1,29.2, 용산-이태-000526,보류 D,29.2,True,True
1020009602,1,1,15.4,용산-이태-000810,보류 D,15.4,False,True
1020009604,1,1,5.7, 용산-이태-000560,보류 D,5.7,True,True
1020010801,2,2,25.5,용산-이태-000663,보류 D,25.5,True,True
1020010804,3,2,28.2,용산-이태-000101,보류 D,28.2,False,True
1020011103,3,2,28.4, 용산-이태-000526,보류 D,28.4,True,True
1020011105,3,2,20.0, 용산-이태-000526,보류 D,20.0,True,True
1020011201,2,2,17.3,용산-이태-저000018,보류 D,17.3,True,True
1020011203,3,2,32.3,용산-이태-002396,보류 D,32.3,True,True
1020039700,3,1,56.7,용산-이태-002396,보류 D,56.7,True,True
1020041801,3,1,36.1, 용산-이태-000660,보류 D,36.1,True,True
