관리번호,시군구명,시군구코드,우편번호,주소,연락처,위도,경도,위치,교차로수,대표이미지,기준일자,기타,CCTV수
3680000_CCTV_00019,대덕구,3680000,34309,대전광역시 대덕구 신탄진북로 33,042-608-5283,36.45121274,127.434912,"[1828197.2693,994246.9304],[1828328.1493,994147.2662],[1828035.1791,994211.6740]",3,19,20-08-31,,1
3680000_CCTV_00020,대덕구,3680000,34305,대전광역시 대덕구 대덕대로 1591,042-608-5283,36.45050677,127.4245164,"[1828109.5279,993336.5531],[1828239.7033,993187.8689],[1828055.0119,993041.9357]",3,20,20-08-31,,1
3680000_CCTV_00021,대덕구,3680000,34407,대전광역시 대덕구 계족산로81번길,042-608-5283,36.36405798,127.4434347,"[1818853.4728,994275.1196],[1818649.7803,994495.3619]",4,21,20-08-31,,1
3680000_CCTV_00024,대덕구,3680000,34395,대전광역시 대덕구 중리남로 39,042-608-5283,36.36070803,127.4274066,"[1818159.2251,993327.7266],[1818185.0986,993625.4783]",4,24,20-08-31,"중리남로 40번길, 한밭대로 115번길 흰색선",1
3680000_CCTV_00026,대덕구,3680000,34437,대전광역시 대덕구 한밭대로1024번길 20,042-608-5283,36.35743098,127.4124086,"[1817815.1521,991963.1142],[1817603.6524,992175.8654]",3,26,20-08-31,한밭대로 994번길 흰색선,1
3680000_CCTV_00027,대덕구,3680000,34304,대전광역시 대덕구 대덕대로 1555,042-608-5283,36.45094809,127.4220296,"[1828062.5440,992733.7991],[1827819.8719,992880.3306]",4,27,20-09-16,카메라 방향 애매,1
3680000_CCTV_00028,대덕구,3680000,34441,대전광역시 대덕구 오정로75번길 1,042-608-5283,36.35281313,127.409771,"[1817407.9699,991791.5333],[1817198.2371,992006.0348],[1817257.2411,991755.4546]",5,28,20-08-31,오정로 75방향길 한쪽은 흰선,1
3670000_CCTV_00183,유성구,3670000,34199,대전광역시 유성구 상대동 467-18(상대초),042-609-2852,36.34619849,127.3401062,"[1816797.1075,985098.9677],[1816647.1075,985248.9677],[1816797.1075,985398.9677]",3,183,20-09-16,,1
3670000_CCTV_00184,유성구,3670000,34195,대전광역시 유성구 원신흥동 598(홍도초),042-609-2852,36.33407887,127.3401497,"[1815289.1857,985326.3806],[1815139.1857,985476.3806],[1815289.1857,985626.3806],[1815439.1857,985476.3806]",4,184,20-09-16,,1
3670000_CCTV_00185,유성구,3670000,34194,대전광역시 유성구 원신흥동 578-6(라도무스아트센터),042-609-2852,36.33295882,127.3339783,"[1815007.3949,984855.1372],[1814857.3949,985005.1372],[1815157.3949,985005.1372],[1815007.3949,985155.1372]",4,185,20-09-16,,1
3670000_CCTV_00186,유성구,3670000,34052,대전광역시 유성구 전민로 42(문지초),042-609-2852,36.39652804,127.4004501,"[1822110.5784,990910.3281],[1821960.5784,991060.3281],[1822110.5784,991210.3281],[1822260.5784,991060.3281]",4,186,20-09-16,문지 초 중 사이 도로 흰색선인대 카메라가 찍고 있음,1
3670000_CCTV_00187,유성구,3670000,34050,대전광역시 유성구 문지로 300(문지효성해링턴플레이스),042-609-2852,36.39422252,127.4091231,"[1821641.3753,991651.7692],[1821791.3753,991501.7692],[1821941.3753,991651.7692]",3,187,20-09-16,,1
3670000_CCTV_00188,유성구,3670000,34202,대전광역시 유성구 복용동 175-3(오토월드 앞 대로),042-609-2852,36.34010204,127.3193341,"[1815787.2678,983745.0249],[1816050.8855,983887.8048]",1,188,20-09-16,,1
3670000_CCTV_00189,유성구,3670000,34202,대전광역시 유성구 복용동 175-3(오토월드 앞 대로 맞은편),042-609-2852,36.34010204,127.3193341,"[1815793.9091,983731.7813],[1816057.7964,983873.8184]",1,189,20-09-16,,1
3670000_CCTV_00190,유성구,3670000,34202,대전광역시 유성구 복용동 504-1(디오토몰 정문),042-609-2852,36.33788834,127.3186257,"[1815634.8470,983686.6315],[1815570.5155,983909.2879]",1,190,20-09-16,,1
3670000_CCTV_00191,유성구,3670000,34125,대전광역시 유성구 도룡동 4-25(MBC 주변),042-609-2852,36.37656202,127.3930248,"[1819758.1494,990701.3366],[1819907.9973,990558.0903],[1819970.0867,990708.0903]",3,191,20-09-16,,1
3670000_CCTV_00192,유성구,3670000,34016,대전광역시 유성구 관평동 1343(메종드세이),042-609-2852,36.42928976,127.3873168,"[1825836.8229,990002.5335],[1825627.8883,990080.2575]",2,192,20-09-16,,1
3670000_CCTV_00193,유성구,3670000,34185,대전광역시 유성구 봉명동 637(파스구찌 앞),042-609-2852,36.3569954,127.3454165,"[1817779.7939,985923.1964],[1817900.3970,986076.7593],[1817723.9422,986200.0376]",3,193,20-09-16,,1
3670000_CCTV_00194,유성구,3670000,34185,대전광역시 유성구 봉명동 639(불이야 봉명점 앞),042-609-2852,36.35898128,127.3462964,"[1818001.2864,985996.6292],[1817833.8031,986070.0325],[1817954.1811,986243.2092]",3,194,20-09-16,,1
3670000_CCTV_00195,유성구,3670000,34185,대전광역시 유성구 봉명동 638(뉴욕공인중개사 주변),042-609-2852,36.35780454,127.3469789,"[1817972.4280,986147.0228],[1817796.6730,986264.3987],[1817917.0905,986441.8666]",3,195,20-09-16,,1
3670000_CCTV_00196,유성구,3670000,34184,대전광역시 유성구 봉명동 661(유성지구대),042-609-2852,36.35873808,127.349921,"[1817927.6868,986383.7055],[1817753.5420,986502.1412],[1817874.6519,986678.9788]",3,196,20-09-16,,1
3670000_CCTV_00199,유성구,3670000,34030,대전광역시 유성구 용산동 672(현대아울렛 정문),042-609-2852,36.41955895,127.3959062,"[1825042.4905,990660.9922],[1824911.7637,990930.9386]",1,199,20-09-16,,1
3670000_CCTV_00198,유성구,3670000,34030,대전광역시 유성구 용산동 604(현대아울렛 삼거리),042-609-2852,36.42460315,127.4025901,"[1825091.2466,991090.1362],[1824930.3799,991003.8821],[1824926.8205,991203.7476]",3,198,20-09-16,,1
3670000_CCTV_00197,유성구,3670000,34030,대전광역시 유성구 용산동 604(현대아울렛 후문),042-609-2852,36.42460315,127.4025901,"[1825315.2749,990817.4957],[1825163.6165,991075.7729]",1,197,20-09-16,,1
3670000_CCTV_00182,유성구,3670000,34121,대전광역시 유성구 도룡동 410(대덕초 앞),042-609-2852,36.38376607,127.3802914,"[1820877.1489,989265.3081],[1820920.1339,989115.3081],[1820924.9100,989289.5867],[1821070.1339,989265.3081]",4,182,20-09-16,,1
3670000_CCTV_00200,유성구,3670000,34219,대전광역시 유성구 대정동 318(유통네거리),042-609-2852,36.315882,127.3202632,"[1813100.5805,983837.3770],[1813192.5587,983699.0532],[1813250.5805,983987.3770],[1813400.5805,983837.3770]",4,200,20-09-16,,1
3680000_CCTV_00002,대덕구,3680000,34438,대전광역시 대덕구 한밭대로 990,042-608-5283,36.35738421,127.4087076,"[1817744.6308,991624.5382],[1817839.7964,991909.0440]",1,2,20-08-31,,1
3680000_CCTV_00003,대덕구,3680000,34438,대전광역시 대덕구 한밭대로 972,042-608-5283,36.35686867,127.4065542,"[1817710.5732,991538.2943],[1817782.7580,991750.0997]",1,3,20-08-31,,1
3680000_CCTV_00004,대덕구,3680000,34401,대전광역시 대덕구 동춘당로94번길 11,042-608-5283,36.36570605,127.4398567,"[1818755.5735,994479.6060],[1818557.6966,994705.0937],[1818766.5539,994694.4177],[1818549.4364,994487.4287]",4,4,20-08-31,,1
3680000_CCTV_00005,대덕구,3680000,34398,대전광역시 대덕구 동춘당로 178,042-608-5283,36.36970203,127.4313173,"[1818879.7498,993735.7780],[1818945.4854,994028.4874]",1,5,20-08-31,계족산로 17번길 흰색선,1
3680000_CCTV_00006,대덕구,3680000,34311,대전광역시 대덕구 신탄진로 808,042-608-5283,36.4496015,127.4294573,"[1827855.1528,993679.6436],[1828149.3861,993621.1050]",1,6,20-08-31,,1
3680000_CCTV_00007,대덕구,3680000,34318,대전광역시 대덕구 대덕대로 1596,042-608-5283,36.45021638,127.4250712,"[1828065.6225,993139.3034],[1828121.7935,993433.9979]",1,7,20-08-31,,1
3680000_CCTV_00008,대덕구,3680000,34304,대전광역시 대덕구 대덕대로 1585,042-608-5283,36.45171159,127.4229969,"[1828143.5999,993180.6697],[1828443.5999,993180.6697],[1828261.8369,993034.0712]",3,8,20-08-31,,1
3680000_CCTV_00009,대덕구,3680000,34306,대전광역시 대덕구 신탄진로 830,042-608-5283,36.45171879,127.429099,"[1828057.6008,993646.8928],[1828354.3964,993616.0534]",1,9,20-08-31,,1
3680000_CCTV_00010,대덕구,3680000,34431,대전광역시 대덕구 한남로38번길 3,042-608-5283,36.35115404,127.423918,"[1817121.3033,993020.9766],[1817080.4977,993313.0573],[1816932.6342,993195.5123]",3,10,20-08-31,,1
3680000_CCTV_00011,대덕구,3680000,34438,대전광역시 대덕구 오정로120번길,042-608-5283,36.35580798,127.4061703,"[1817694.4547,991520.5703],[1817504.0125,991711.9646]",3,11,20-08-31,오정로 120번길 흰샌선,1
3680000_CCTV_00013,대덕구,3680000,34443,대전광역시 대덕구 대전로 1045,042-608-5283,36.34774084,127.4159028,"[1816630.0688,992586.4058],[1816842.8220,992374.8967]",5,13,20-08-31,,1
3680000_CCTV_00016,대덕구,3680000,34417,대전광역시 대덕구 비래동로 1,042-608-5283,36.35733854,127.4635988,"[1817469.2595,995299.0245],[1817424.5545,995587.5956],[1817333.7445,995401.0927],[1817549.8165,995499.3859]",4,16,20-08-31,,1
3680000_CCTV_00018,대덕구,3680000,34422,대전광역시 대덕구 계족산로 2,042-608-5283,36.3613046,127.4320395,"[1818093.7500,993954.4541],[1818273.7202,994066.7516],[1818210.9106,993773.4425]",3,18,20-08-31,전자랜드 방향 한쪽은 노란색선 한쪽은 주차선,1
3680000_CCTV_00012,대덕구,3680000,34419,대전광역시 대덕구 비래서로 8,042-608-5283,36.35526439,127.4454347,"[1817580.0117,995063.6000],[1817487.0439,995262.9915],[1817686.5800,995189.9988]",4,12,20-08-31,비래서로 10번길 흰색선,1
3680000_CCTV_00017,대덕구,3680000,34320,대전광역시 대덕구 덕암북로 37,042-608-5283,36.44636624,127.4224143,"[1827815.3219,992897.9218],[1827736.2829,993147.6124],[1827582.6553,993075.8168]",3,17,20-08-31,,1
3680000_CCTV_00025,대덕구,3680000,34395,대전광역시 대덕구 중리남로 23,042-608-5283,36.36092989,127.4290442,"[1818217.9881,993808.2050],[1818164.5363,993513.0052]",1,25,20-08-31,,1
3670000_CCTV_00181,유성구,3670000,34127,대전광역시 유성구 죽동 778(푸르지오 앞),042-609-2852,36.37344673,127.338308,"[1819657.8435,985489.6346],[1819468.5323,985651.8563],[1819359.2477,985509.5234]",3,181,20-09-16,,1
3680000_CCTV_00022,대덕구,3680000,34385,대전광역시 대덕구 계족로 663번길 29,042-608-5283,36.37016124,127.4265763,"[1819359.2871,993197.2901],[1819224.9045,993325.2643],[1819064.3451,993143.5816]",3,22,20-08-31,,1
3680000_CCTV_00023,대덕구,3680000,34401,대전광역시 대덕구 동춘당로 114번길,042-608-5283,36.3664047,127.4376678,"[1818760.9292,994418.8466],[1818933.7476,994584.9068]",4,23,20-08-31,,1
3670000_CCTV_00201,유성구,3670000,34130,대전광역시 유성구 가정동 237(도룡SK뷰아파트),042-609-2852,36.38375673,127.3751285,"[1820806.5800,988853.6566],[1820861.1745,988689.7008],[1820617.3793,988838.9576]",3,201,20-09-16,,1
3680000_CCTV_00001,대덕구,3680000,34312,대전광역시 대덕구 신탄진로 783,042-608-5283,36.44724728,127.4292,"[1827599.0564,993690.7555],[1827896.2953,993661.0973],[1827778.9033,993831.3791]",3,1,20-08-31,,1
3680000_CCTV_00015,대덕구,3680000,34431,대전광역시 대덕구 한남로 19,042-608-5283,36.35098174,127.4260399,"[1817075.5390,993235.7046],[1816946.8147,993318.9795],[1817114.0929, 993531.8262],[1817111.7932,993408.1236]",4,15,20-08-31,한남로 17번길 한쪽읜 흰선 한쪽은 노란선,1
3680000_CCTV_00014,대덕구,3680000,,대전광역시 대덕구 비래동 520,042-608-5283,36.35792285,127.4462356,,0,,20-08-31,카메라 없음,0
3670000_CCTV_00133,유성구,3670000,34049,대전광역시 유성구 전민동 467-5(엑스포코아 삼거리),042-611-2574,36.39935584,127.4062244,"[1822317.398,991610.089],[1822617.398,991610.089],[1822467.398,991487.852]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00134,유성구,3670000,34227,대전광역시 유성구 원내동 321-11(새마을금고 주변),042-611-2574,36.2999772,127.3202147,"[1811256.629,983851.2811],[1811399.1461,983695.6388],[1811405.0965,983995.4505]",3,"1, 2, 3",20-08-31,,1
3670000_CCTV_00135,유성구,3670000,34178,대전광역시 유성구 구암동 610-24(진터벌 삼거리),042-611-2574,36.35061796,127.3374627,"[1817042.49, 985282.666],[1816995.209,985578.917],[1817162.423,985474.226]",3,"1, 2",20-08-31,,1
3670000_CCTV_00137,유성구,3670000,34139,대전광역시 유성구 어은동 110-9(유성구의회청사 옆),042-611-2574,36.36297801,127.35703,"[1818301.777,987216.725],[1818438.015,987124.375]",2,"1, 2, 3",20-08-31,,1
3670000_CCTV_00138,유성구,3670000,34009,대전광역시 유성구 송강동 49-1(송강프라자 네거리),042-611-2574,36.43553429,127.3868089,"[1826365.907,989953.053],[1826386.12,989741.886],[1826619.199,989797.863],[1826578.789,989971.829]",4,"1, 2, 3",20-08-31,,1
