getonBusSttnId	busSttnNm	ars	admGuNm
3061006	아름초등학교	052025	유성구
8001421	대전역/중앙시장	10010	동구
8001514	원동네거리	10020	동구
8002635	중앙시장	10030	동구
8001412	대전역/역전시장	10040	동구
8002634	중앙시장	10050	동구
3061007	범지기마을10단지	052020	유성구
8002358	중앙시장	10060	동구
8002357	원동네거리	10070	동구
8002356	원동네거리	10080	동구
8002482	신인동주민센터	10090	동구
8002481	인동네거리	10100	동구
8002483	인동현대아파트	10110	동구
8002480	인동네거리	10120	동구
8002484	인동현대아파트	10130	동구
8002149	동부경찰서	10140	동구
8002148	동부경찰서	10150	동구
8003014	효동네거리	10170	동구
8003016	효동네거리	10180	동구
8003018	효동행정복지센터	10190	동구
8003017	효동행정복지센터	10200	동구
8002691	효동현대아파트	10210	동구
8002692	효동현대아파트	10220	동구
8001397	천석교	10230	동구
8001396	천석교	10240	동구
8002688	천동	10250	동구
8002687	천동	10260	동구
8002690	천동주공아파트	10270	동구
8002689	천동주공아파트	10280	동구
8001045	가오동	10290	동구
8001044	가오동	10300	동구
8001043	가오동	10310	동구
8001048	가오주공아파트	10320	동구
8001047	가오주공아파트	10330	동구
8001740	남대전변전소	10340	동구
8001046	남대전변전소	10350	동구
8002440	가오동네거리	10360	동구
8002441	가오동네거리	10370	동구
8001041	동구청	10380	동구
8001042	동구청	10390	동구
8002833	은어송초등학교	10400	동구
8002832	은어송초등학교	10410	동구
8007605	휴먼시아10단지	47130	유성구
8007614	휴먼시아10단지	47140	유성구
8002443	남부여성가족원	10480	동구
8005568	신흥동종점	10530	동구
8002152	신흥동주민센터	10540	동구
8002572	어진마을아파트	10550	동구
8002570	신흥마을아파트정문	10560	동구
8002150	신흥동시외버스정류소	10570	동구
8002151	신흥동시외버스정류소	10580	동구
8002727	충남중학교	10590	동구
8002573	신흥마을아파트	10600	동구
8002571	신흥마을아파트후문	10610	동구
8002153	신흥역	10630	동구
8002154	신흥역	10640	동구
8002817	판암근린공원	10650	동구
8002818	판암근린공원	10660	동구
8001670	미리내아파트	10670	동구
8002822	판암역네거리	10680	동구
8002816	판암역네거리	10690	동구
8002823	판암역	10740	동구
8002824	판암역	10760	동구
8002625	판암테크노타운	10770	동구
8002829	판암네거리	10780	동구
8002820	판암동성당	10790	동구
8002828	판암네거리	10800	동구
8002821	판암동성당	10810	동구
8002827	판암지구대	10820	동구
8001391	판암차량기지	10840	동구
8001390	판암차량기지	10850	동구
8001879	삼정동	10860	동구
8001880	삼정동	10870	동구
8002295	한밭여중입구	10880	동구
8002286	용방마을아파트	10890	동구
8002289	용방마을아파트	10900	동구
8002341	우송대동캠퍼스	10910	동구
8002342	용수골	10930	동구
8002287	용운종합사회복지관	10940	동구
8002305	용운마젤란아파트	10950	동구
8001381	대전대학교입구	10960	동구
8001234	꿈에그린아파트	10970	동구
