getonBusSttnId	ymdId	busSttnNm	getonCnt	getoffCnt	transfPsngrCnt
8001008	20260701	가수원동(33090)	10	7	0
8001008	20260702	가수원동(33090)	8	12	0
8001008	20260703	가수원동(33090)	10	11	0
8001008	20260704	가수원동(33090)	10	3	0
8001008	20260705	가수원동(33090)	4	6	0
8001008	20260706	가수원동(33090)	11	11	0
8001008	20260707	가수원동(33090)	10	6	0
8001008	20260708	가수원동(33090)	9	7	0
8001008	20260709	가수원동(33090)	8	5	0
8001008	20260710	가수원동(33090)	20	12	0
8001008	20260711	가수원동(33090)	10	8	0
8001008	20260712	가수원동(33090)	2	5	0
8001008	20260713	가수원동(33090)	9	3	0
8001008	20260714	가수원동(33090)	11	9	0
8001008	20260715	가수원동(33090)	18	9	1
8001008	20260716	가수원동(33090)	11	11	0
8001008	20260717	가수원동(33090)	6	3	0
8001008	20260718	가수원동(33090)	7	8	0
8001008	20260719	가수원동(33090)	5	5	0
8001008	20260720	가수원동(33090)	15	8	1
8001008	20260721	가수원동(33090)	13	8	2
8001008	20260722	가수원동(33090)	12	10	0
8001008	20260723	가수원동(33090)	12	6	0
8001008	20260724	가수원동(33090)	9	3	0
8001008	20260725	가수원동(33090)	15	11	0
8001008	20260726	가수원동(33090)	6	8	0
8001008	20260727	가수원동(33090)	13	8	0
8001008	20260728	가수원동(33090)	17	9	0
8001008	20260729	가수원동(33090)	11	6	0
8001008	20260730	가수원동(33090)	10	11	0
8001008	20260731	가수원동(33090)	16	10	0
8001019	20260701	가수원동(33080)	5	19	0
8001019	20260702	가수원동(33080)	6	13	1
8001019	20260703	가수원동(33080)	7	10	0
8001019	20260704	가수원동(33080)	2	14	0
8001019	20260705	가수원동(33080)	1	2	0
8001019	20260706	가수원동(33080)	7	13	1
8001019	20260707	가수원동(33080)	7	12	0
8001019	20260708	가수원동(33080)	4	21	1
8001019	20260709	가수원동(33080)	0	12	0
8001019	20260710	가수원동(33080)	4	17	0
8001019	20260711	가수원동(33080)	4	7	0
8001019	20260712	가수원동(33080)	3	5	0
8001019	20260713	가수원동(33080)	4	13	0
8001019	20260714	가수원동(33080)	6	13	0
8001019	20260715	가수원동(33080)	8	16	0
8001019	20260716	가수원동(33080)	6	12	0
8001019	20260717	가수원동(33080)	4	8	0
8001019	20260718	가수원동(33080)	3	3	0
8001019	20260719	가수원동(33080)	4	7	0
8001019	20260720	가수원동(33080)	5	22	0
8001019	20260721	가수원동(33080)	11	13	0
8001019	20260722	가수원동(33080)	8	18	0
8001019	20260723	가수원동(33080)	6	20	0
