역번호,역사명,노선명,역위도,역경도,운영기관명,역사도로명주소,데이터기준일자
122,반석,대전도시철도 1호선,36.392128,127.314581,대전광역시도시철도공사,대전광역시 유성구 북유성대로 지하 303(반석동),2021-09-01
121,지족,대전도시철도 1호선,36.384106,127.319501,대전광역시도시철도공사,대전광역시 유성구 노은로 273(지족동),2021-09-01
120,노은,대전도시철도 1호선,36.374150,127.317835,대전광역시도시철도공사,대전광역시 유성구 노은로 지하 161(지족동),2021-09-01
119,월드컵경기장,대전도시철도 1호선,36.366825,127.317859,대전광역시도시철도공사,대전광역시 유성구 한밭대로 지하 155(노은동),2021-09-01
118,현충원,대전도시철도 1호선,36.359021,127.321525,대전광역시도시철도공사,대전광역시 유성구 현충원로 지하 455(구암동),2021-09-01
117,구암,대전도시철도 1호선,36.356605,127.330830,대전광역시도시철도공사,대전광역시 유성구 유성대로 703(구암동),2021-09-01
116,유성온천,대전도시철도 1호선,36.353689,127.341524,대전광역시도시철도공사,대전광역시 유성구 계룡로 지하 97(봉명동),2021-09-01
115,갑천,대전도시철도 1호선,36.354578,127.354467,대전광역시도시철도공사,대전광역시 서구 갑천도시고속도로 지하 1833(월평동),2021-09-01
114,월평,대전도시철도 1호선,36.358272,127.364382,대전광역시도시철도공사,대전광역시 서구 한밭대로 지하 595(월평동),2021-09-01
113,갈마,대전도시철도 1호선,36.357522,127.372632,대전광역시도시철도공사,대전광역시 서구 한밭대로 지하 666(갈마동),2021-09-01
112,정부청사,대전도시철도 1호선,36.357661,127.381047,대전광역시도시철도공사,대전광역시 서구 한밭대로 지하 744(둔산동),2021-09-01
111,시청,대전도시철도 1호선,36.351673,127.386739,대전광역시도시철도공사,대전광역시 서구 둔산중로 지하 55(둔산동),2021-09-01
110,탄방,대전도시철도 1호선,36.345440,127.384603,대전광역시도시철도공사,대전광역시 서구 문정로48번길 지하 19(탄방동),2021-09-01
109,용문,대전도시철도 1호선,36.338252,127.393317,대전광역시도시철도공사,대전광역시 서구 계룡로 지하 644(용문동),2021-09-01
108,오룡,대전도시철도 1호선,36.328582,127.405046,대전광역시도시철도공사,대전광역시 중구 계룡로 지하 793(오류동),2021-09-01
107,서대전네거리,대전도시철도 1호선,36.322416,127.412518,대전광역시도시철도공사,대전광역시 중구 계룡로 지하 889(용두동),2021-09-01
106,중구청,대전도시철도 1호선,36.324831,127.419627,대전광역시도시철도공사,대전광역시 중구 중앙로 지하 71 (선화동),2021-09-01
105,중앙로,대전도시철도 1호선,36.328664,127.425842,대전광역시도시철도공사,대전광역시 중구 중앙로 지하 145 (은행동),2021-09-01
104,대전,대전도시철도 1호선,36.331583,127.433118,대전광역시도시철도공사,대전광역시 동구 중앙로 지하 218 (중동),2021-09-01
103,대동,대전도시철도 1호선,36.329532,127.442848,대전광역시도시철도공사,대전광역시 동구 계족로 지하 176 (대동),2021-09-01
102,신흥,대전도시철도 1호선,36.319652,127.448792,대전광역시도시철도공사,대전광역시 동구 옥천로 지하 70 (판암동),2021-09-01
101,판암,대전도시철도 1호선,36.316896,127.458264,대전광역시도시철도공사,대전광역시 동구 옥천로 지하162 (판암동),2021-09-01
