정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
DJB8001250,남선공원네거리,36.347336,127.401566,2025-10-31,31260,25,대전광역시,대전BIS
DJB8001251,남선공원종합체육관,36.349113,127.399124,2025-10-31,31320,25,대전광역시,대전BIS
DJB8001252,남선공원종합체육관,36.348804,127.39831,2025-10-31,31240,25,대전광역시,대전BIS
DJB8001253,e편한세상아파트,36.280586,127.46806,2025-10-31,13440,25,대전광역시,대전BIS
DJB8001254,e편한세상아파트,36.281143,127.46756,2025-10-31,13430,25,대전광역시,대전BIS
DJB8001255,봉산중학교입구,36.32952,127.37572,2025-10-31,30220,25,대전광역시,대전BIS
DJB8001256,변동근린공원,36.325325,127.37373,2025-10-31,30570,25,대전광역시,대전BIS
DJB8001257,변동근린공원,36.326096,127.37399,2025-10-31,30590,25,대전광역시,대전BIS
DJB8001258,내동네거리,36.329857,127.37566,2025-10-31,30230,25,대전광역시,대전BIS
DJB8001259,내동네거리,36.331738,127.376144,2025-10-31,31650,25,대전광역시,대전BIS
DJB8001260,내동중학교,36.331726,127.37101,2025-10-31,30200,25,대전광역시,대전BIS
DJB8001261,내동중학교,36.331684,127.37121,2025-10-31,30210,25,대전광역시,대전BIS
DJB8001262,내동초등학교,36.32969,127.379906,2025-10-31,30300,25,대전광역시,대전BIS
DJB8001263,내동초등학교,36.32981,127.37877,2025-10-31,30280,25,대전광역시,대전BIS
DJB8001264,내동주민센터,36.331932,127.377556,2025-10-31,31660,25,대전광역시,대전BIS
DJB8001265,냉천골종점,36.41541,127.49082,2025-10-31,12860,25,대전광역시,대전BIS
DJB8001266,노루벌,36.272972,127.34372,2025-10-31,33790,25,대전광역시,대전BIS
DJB8001267,노루벌,36.27308,127.34391,2025-10-31,33800,25,대전광역시,대전BIS
DJB8001268,노은농수산물시장,36.366756,127.32178,2025-10-31,42270,25,대전광역시,대전BIS
DJB8001269,노은농수산물시장,36.367016,127.321205,2025-10-31,42260,25,대전광역시,대전BIS
DJB8001270,노은농수산시장,36.364708,127.31764,2025-10-31,42210,25,대전광역시,대전BIS
DJB8001271,노은농수산시장,36.364563,127.317955,2025-10-31,42240,25,대전광역시,대전BIS
DJB8001272,노은역,36.374153,127.31789,2025-10-31,42330,25,대전광역시,대전BIS
