표현,"모델이 지정 개소와 유사하다고 본 골목 — 지정되어야 한다는 뜻이 아님 · 탐색적 결과(양성 42, 대전 한정)"
모델,순위,구,도로명,OOF확률,표준노드링크포함,bt_mean(단위미확인),n_seg,deg_mean
M1_logistic,1,서구,중반4길,0.9999,0,3.18,22,1.18
M1_logistic,2,서구,중반1길,0.9998,0,3.16,19,1.21
M1_logistic,3,서구,도마19길,0.9995,0,3.18,17,1.29
M1_logistic,4,서구,중반2길,0.9995,0,3.32,19,1.16
M1_logistic,5,서구,대신1길,0.9994,0,3.35,17,1.18
M1_logistic,6,서구,조달청길,0.9993,1,3.35,20,2.25
M1_logistic,7,서구,도솔5길,0.9968,0,3.23,13,1.77
M1_logistic,8,서구,도마17길,0.9965,0,3.23,13,1.38
M1_logistic,9,서구,도솔3길,0.9952,0,3.23,13,1.77
M1_logistic,10,서구,중반3길,0.9937,0,3.83,12,1.25
M1_logistic,11,서구,중반6길,0.9925,0,3.67,13,1.23
M1_logistic,12,서구,도솔1길,0.992,0,3.27,11,1.36
M1_logistic,13,서구,도솔6길,0.9918,0,3.33,12,1.58
M1_logistic,14,서구,도마20길,0.9908,0,3.27,11,1.18
M1_logistic,15,서구,도마4길,0.9897,0,3.55,11,1.36
M1_logistic,16,서구,도마16길,0.987,0,3.3,10,1.6
M1_logistic,17,서구,도림1길,0.9817,0,3.5,10,1.4
M1_logistic,18,서구,중반8길,0.9811,0,3.92,10,1.3
M1_logistic,19,서구,도마6길,0.9795,0,4.06,18,1.72
M1_logistic,20,서구,영골길,0.9787,0,4.0,9,2.0
M2_logistic,1,서구,중반4길,1.0,0,3.18,22,1.18
M2_logistic,2,서구,중반1길,0.9999,0,3.16,19,1.21
M2_logistic,3,서구,중반2길,0.9997,0,3.32,19,1.16
M2_logistic,4,서구,도마19길,0.9996,0,3.18,17,1.29
M2_logistic,5,서구,대신1길,0.9996,0,3.35,17,1.18
M2_logistic,6,서구,도솔5길,0.9976,0,3.23,13,1.77
M2_logistic,7,서구,도마17길,0.9974,0,3.23,13,1.38
M2_logistic,8,서구,도솔3길,0.9967,0,3.23,13,1.77
M2_logistic,9,서구,중반3길,0.9953,0,3.83,12,1.25
M2_logistic,10,중구,계백로1646번길,0.9953,0,12.62,13,2.54
M2_logistic,11,서구,중반6길,0.9951,0,3.67,13,1.23
M2_logistic,12,서구,도솔6길,0.9943,0,3.33,12,1.58
M2_logistic,13,서구,도마6길,0.9941,0,4.06,18,1.72
M2_logistic,14,서구,도솔1길,0.9938,0,3.27,11,1.36
M2_logistic,15,서구,도마20길,0.993,0,3.27,11,1.18
M2_logistic,16,서구,도마4길,0.9924,0,3.55,11,1.36
M2_logistic,17,서구,도마16길,0.9899,0,3.3,10,1.6
M2_logistic,18,서구,도림1길,0.9867,0,3.5,10,1.4
M2_logistic,19,서구,중반8길,0.9862,0,3.92,10,1.3
M2_logistic,20,서구,영골길,0.9841,0,4.0,9,2.0
