조각,사람 판독(m),도로경계 내접폭(m),장애물 차감폭(m),RVWD(m),road_bt,SAM(m),건물간격 기하(m),판정(내접폭),판정(차감폭),대조:내접폭,대조:차감폭,대조:RVWD,대조:road_bt,대조:SAM,대조:건물간격
계족로330번길,3~4,4.5,4.5,4.5,3,20.02,,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,차이,대조 불가
계족로336번길,3~4,2.42,2.42,6,4,10.04,8.02,BLOCKED,BLOCKED,모순되지 않음,모순되지 않음,차이,모순되지 않음,차이,차이
목척3길,5~7,5.03,5.03,8.2,8,12.87,8.4,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,차이,모순되지 않음,차이,차이
목척5길,3~4,5.0,5.0,5,4,16.54,7.7,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,차이,차이
갈마중로28번길,4~5,4.0,4.0,4,6,10.58,4.88,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,차이,모순되지 않음
갈마중로30번길,6~7,3.79,3.79,6.7,6,14.31,12.21,폭축_통과후보,폭축_통과후보,차이,차이,모순되지 않음,모순되지 않음,차이,차이
갈마중로46번길,5~8,5.91,5.91,6,6,,7.79,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,대조 불가,모순되지 않음
대전로1375번길,판독불가,,,,3,,,,,대조 불가,대조 불가,대조 불가,대조 불가,대조 불가,대조 불가
도솔로175번길,5~7,5.18,5.18,6,6,,10.3,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,대조 불가,차이
변정1길,5~6,5.61,5.61,6,6,4.39,8.02,폭축_통과후보,폭축_통과후보,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,모순되지 않음,차이
변정7길,6~7,2.99,2.99,3,6,2.1,,CONDITIONAL_C,CONDITIONAL_C,차이,차이,차이,모순되지 않음,차이,대조 불가
