연번,시군구,조각,최근접ITS_CCTV,유형,거리_m
1,동구,계족로330번길,[경부선] 가양대교,고속도로,2452
1,동구,계족로336번길,[경부선] 가양대교,고속도로,2474
2,동구,동대전로110번길,[국도 4호선] 대전 비룡삼거리,국도,2663
2,동구,대동 산 1번지,[국도 4호선] 대전 비룡삼거리,국도,2070
3,동구,역전시장길7,[경부선] [부산]대전터널(부산외부1),고속도로,3490
3,동구,역전시장길75,[통영대전선] 은어송,고속도로,3287
4,중구,대전천서로277,[통영대전선] 은어송,고속도로,2275
4,중구,문창로10번길46,[통영대전선] 은어송,고속도로,2282
5,중구,목척3길,[경부선] 가양대교,고속도로,4082
5,중구,목척5길,[경부선] 가양대교,고속도로,4046
6,동구,진수길,[경부선] [부산]대전터널(부산외부1),고속도로,2806
6,동구,진보길,[경부선] [부산]대전터널(부산외부1),고속도로,2736
6,동구,수양길,[경부선] [부산]대전터널(부산외부1),고속도로,2703
7,중구,대종로601번길,[경부선] 대전,고속도로,4302
8,중구,옥계아파트,[통영대전선] 대별3교(고정),고속도로,833
9,동구,대전천북로116번길,[경부선] 법동,고속도로,3836
10,서구,갈마중로28번길,[호남지선] 유성,고속도로,4136
10,서구,갈마중로30번길,[호남지선] 유성,고속도로,4102
10,서구,갈마중로46번길,[호남지선] 유성,고속도로,4233
11,서구,문정로170번길,[경부선] 계족,고속도로,4152
12,서구,문정로112번안길,[경부선] 계족,고속도로,4709
12,서구,남선로9번길,[경부선] 계족,고속도로,4629
13,대덕구,중리로 74-1,[경부선] 법동,고속도로,1075
13,대덕구,중리로64번길 2,[경부선] 법동,고속도로,1136
14,대덕구,계족산로5번안길 22,[경부선] 법동,고속도로,540
14,대덕구,계족로608번길 30,[경부선] 법동,고속도로,619
15,대덕구,대전로1375번길 22-14,[경부선] 계족,고속도로,798
16,대덕구,대전로1397번길 50,[경부선] 읍내,고속도로,707
17,대덕구,청자마을길 28,[경부선] 신탄진,고속도로,1585
18,대덕구,태양마을길 28,[경부선] 신탄진,고속도로,1362
19,대덕구,동심9길,[경부선] 계족,고속도로,1990
20,대덕구,늘봄2길,[경부선] 계족,고속도로,1794
21,대덕구,홍도로55번길,[경부선] 법동,고속도로,1928
23,대덕구,동춘당로31번길,[경부선] 대전,고속도로,864
24,유성구,신성남로 43,[호남지선] 자운육교,고속도로,953
25,유성구,유성대로718번길,[호남지선] 유성,고속도로,774
25,유성구,온천서로 38,[호남지선] 유성,고속도로,1017
26,서구,도마5길 56,[대전남부선] [산내]안영1터널(산내 외부),고속도로,3654
27,서구,도솔로175번길,[대전남부선] [서대전]구봉터널(서대전 외부),고속도로,4326
28,서구,변정1길,[대전남부선] [서대전]구봉터널(서대전 외부),고속도로,4370
28,서구,변정7길,[대전남부선] [산내]안영1터널(산내 외부),고속도로,4124
29,중구,당디로124번길,[대전남부선] 안영,고속도로,3783
31,중구,충무로68번길,[통영대전선] 은어송,고속도로,3532
32,중구,보문산공원로530번길,[통영대전선] 은어송,고속도로,3456
33,중구,대둔산로414번길,[대전남부선] 안영,고속도로,2893
34,중구,천근로 8,[대전남부선] 안영,고속도로,3638
34,중구,송리로1번길,[대전남부선] 안영,고속도로,3321
35,중구,보문산로122번길,[대전남부선] 안영,고속도로,2721
35,중구,대둔산로386번길,[대전남부선] 안영,고속도로,2362
36,서구,계백로1158번길,[대전남부선] [서대전]구봉터널(서대전 외부),고속도로,1334
37,중구,문화로 133,[대전남부선] 안영,고속도로,3832
37,중구,문화로134번길,[대전남부선] 안영,고속도로,3758
37,중구,당디로36번길,[대전남부선] 안영,고속도로,3571
