연번,조각,축선 길이(m),표고점 수,P 경사(%),등고선 교차,C 경사(%),등고선 간격(m),판정,비고
1,계족로330번길,52.0,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
1,계족로336번길,34.0,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
2,동대전로110번길,38.3,2,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
3,역전시장길7,15.8,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
3,역전시장길75,40.6,1,,0,,,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
5,목척3길,33.8,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
5,목척5길,14.3,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
6,진수길,74.7,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
6,진보길,60.2,0,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
6,수양길,77.6,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
7,대종로601번길,82.1,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
9,대전천북로116번길,76.6,2,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
10,갈마중로28번길,59.1,1,,1,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
10,갈마중로30번길,24.2,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
10,갈마중로46번길,67.3,1,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
11,문정로170번길,14.7,0,,0,,5.0,UNKNOWN_FAIL_CLOSED(기준 미확보),P: 표고점 3개 미만 → NOT_COMPUTED C: 교차 2개 미만 → NOT_COMPUTED
