관리번호,시군구명,주소,nearest_road,nearest_m,nearest_tier,alley_level,within30m_26site_names
3680000_CCTV_00019,대덕구,대전광역시 대덕구 신탄진북로 33,신탄진북로,14.2,로,False,[]
3680000_CCTV_00020,대덕구,대전광역시 대덕구 대덕대로 1591,대덕대로,19.3,대로,False,[]
3680000_CCTV_00021,대덕구,대전광역시 대덕구 계족산로81번길,,,,False,[]
3680000_CCTV_00024,대덕구,대전광역시 대덕구 중리남로 39,한밭대로1159번길,8.9,번길,True,[]
3680000_CCTV_00026,대덕구,대전광역시 대덕구 한밭대로1024번길 20,한밭대로1024번길,11.0,번길,True,[]
3680000_CCTV_00027,대덕구,대전광역시 대덕구 대덕대로 1555,,,,False,[]
3680000_CCTV_00028,대덕구,대전광역시 대덕구 오정로75번길 1,오정로,27.5,로,False,[]
3670000_CCTV_00183,유성구,대전광역시 유성구 상대동 467-18(상대초),도안대로,17.7,대로,False,[]
3670000_CCTV_00184,유성구,대전광역시 유성구 원신흥동 598(홍도초),원신흥남로12번길,16.5,번길,False,[]
3670000_CCTV_00185,유성구,대전광역시 유성구 원신흥동 578-6(라도무스아트센터),,,,False,[]
3670000_CCTV_00186,유성구,대전광역시 유성구 전민로 42(문지초),전민로,11.9,로,False,[]
3670000_CCTV_00187,유성구,대전광역시 유성구 문지로 300(문지효성해링턴플레이스),,,,False,[]
3670000_CCTV_00188,유성구,대전광역시 유성구 복용동 175-3(오토월드 앞 대로),유성대로,4.3,대로,False,[]
3670000_CCTV_00189,유성구,대전광역시 유성구 복용동 175-3(오토월드 앞 대로 맞은편),유성대로,4.3,대로,False,[]
3670000_CCTV_00190,유성구,대전광역시 유성구 복용동 504-1(디오토몰 정문),복용동로,8.4,로,False,[]
3670000_CCTV_00191,유성구,대전광역시 유성구 도룡동 4-25(MBC 주변),,,,False,[]
3670000_CCTV_00192,유성구,대전광역시 유성구 관평동 1343(메종드세이),,,,False,[]
3670000_CCTV_00193,유성구,대전광역시 유성구 봉명동 637(파스구찌 앞),온천북로,4.7,로,False,[]
3670000_CCTV_00194,유성구,대전광역시 유성구 봉명동 639(불이야 봉명점 앞),문화원로,1.5,로,False,[]
3670000_CCTV_00195,유성구,대전광역시 유성구 봉명동 638(뉴욕공인중개사 주변),온천북로33번길,0.2,번길,True,[]
3670000_CCTV_00196,유성구,대전광역시 유성구 봉명동 661(유성지구대),,,,False,[]
3670000_CCTV_00199,유성구,대전광역시 유성구 용산동 672(현대아울렛 정문),,,,False,[]
3670000_CCTV_00198,유성구,대전광역시 유성구 용산동 604(현대아울렛 삼거리),,,,False,[]
3670000_CCTV_00197,유성구,대전광역시 유성구 용산동 604(현대아울렛 후문),,,,False,[]
3670000_CCTV_00182,유성구,대전광역시 유성구 도룡동 410(대덕초 앞),대덕대로578번길,4.6,번길,True,[]
3670000_CCTV_00200,유성구,대전광역시 유성구 대정동 318(유통네거리),대정로42번길,19.8,번길,False,[]
3680000_CCTV_00002,대덕구,대전광역시 대덕구 한밭대로 990,,,,False,[]
3680000_CCTV_00003,대덕구,대전광역시 대덕구 한밭대로 972,한밭대로972번길,24.7,번길,False,[]
3680000_CCTV_00004,대덕구,대전광역시 대덕구 동춘당로94번길 11,동춘당로94번길,18.7,번길,False,[]
3680000_CCTV_00005,대덕구,대전광역시 대덕구 동춘당로 178,,,,False,[]
3680000_CCTV_00006,대덕구,대전광역시 대덕구 신탄진로 808,신탄진로810번길,26.6,번길,False,[]
3680000_CCTV_00007,대덕구,대전광역시 대덕구 대덕대로 1596,석봉북로,12.9,로,False,[]
3680000_CCTV_00008,대덕구,대전광역시 대덕구 대덕대로 1585,,,,False,[]
3680000_CCTV_00009,대덕구,대전광역시 대덕구 신탄진로 830,신탄진로834번길,17.0,번길,False,[]
3680000_CCTV_00010,대덕구,대전광역시 대덕구 한남로38번길 3,한남로38번길,9.3,번길,True,[]
3680000_CCTV_00011,대덕구,대전광역시 대덕구 오정로120번길,오정로,20.7,로,False,[]
3680000_CCTV_00013,대덕구,대전광역시 대덕구 대전로 1045,,,,False,[]
3680000_CCTV_00016,대덕구,대전광역시 대덕구 비래동로 1,,,,False,[]
3680000_CCTV_00018,대덕구,대전광역시 대덕구 계족산로 2,계족산로,26.7,로,False,[]
3680000_CCTV_00012,대덕구,대전광역시 대덕구 비래서로 8,비래서로10번길,17.6,번길,False,[]
3680000_CCTV_00017,대덕구,대전광역시 대덕구 덕암북로 37,덕암북로,19.9,로,False,[]
3680000_CCTV_00025,대덕구,대전광역시 대덕구 중리남로 23,중리남로,17.0,로,False,[]
3670000_CCTV_00181,유성구,대전광역시 유성구 죽동 778(푸르지오 앞),죽동로,2.4,로,False,[]
3680000_CCTV_00022,대덕구,대전광역시 대덕구 계족로 663번길 29,,,,False,[]
