시군구,조각,반경(m),버스정류장수,도시철도역사수,최근접정류장(m),최근접정류장명,최근접역사(m),최근접역사명,미산출사유
동구,계족로330번길,100,0,0,109.1,성남네거리,1227.2,대전,
동구,계족로336번길,100,0,0,126.5,성남네거리,1269.6,대전,
동구,동대전로110번길,100,0,0,117.9,우송고등학교,334.9,대동,
동구,역전시장길7,100,1,1,88.2,대전역/역전시장,97.5,대전,
동구,역전시장길75,100,2,0,65.2,중앙시장,340.4,대전,
중구,목척3길,100,1,0,97.2,중앙로역8번출구,233.9,중앙로,
중구,목척5길,100,0,0,167.6,중앙로역7번출구,353.8,중앙로,
동구,진수길,100,2,0,38.0,중앙동주민센터,673.4,대동,
동구,진보길,100,2,0,72.0,중앙동주민센터,757.6,대전,
동구,수양길,100,1,0,69.5,우송중고등학교,640.3,대동,
중구,대종로601번길,100,2,0,76.6,세명요양병원,1063.0,중앙로,
동구,대전천북로116번길,100,2,0,18.2,삼성2동,1506.4,중앙로,
서구,갈마중로28번길,100,0,0,225.2,갈마2동주민센터/충청투데이,1050.7,탄방,
서구,갈마중로30번길,100,0,0,250.4,갈마2동주민센터/충청투데이,1090.1,탄방,
서구,갈마중로46번길,100,0,0,138.4,갈마2동주민센터/충청투데이,958.4,탄방,
서구,문정로170번길,100,0,0,147.2,문정초등학교,903.2,시청,
서구,문정로112번안길,100,1,0,98.8,한가람아파트,670.8,탄방,
서구,남선로9번길,100,0,0,340.5,한가람아파트,709.3,용문,
대덕구,계족산로5번안길 22,100,0,0,132.4,법동전통시장,3954.1,대전,
대덕구,계족로608번길 30,100,0,0,159.4,법동전통시장,3842.5,대전,
대덕구,대전로1375번길 22-14,100,0,0,106.7,회덕동주민센터,4104.2,정부청사,
대덕구,대전로1397번길 50,100,0,0,336.6,회덕동주민센터,4242.9,정부청사,
대덕구,청자마을길 28,100,0,0,315.6,태양마을,10180.8,정부청사,
대덕구,태양마을길 28,100,0,0,157.4,태양마을,10162.2,정부청사,
대덕구,동심9길,100,0,0,293.8,대화동행정복지센터,2654.8,시청,
대덕구,늘봄2길,100,0,0,347.6,원명학교,2882.9,시청,
대덕구,동춘당로31번길,100,0,0,179.7,서오아파트,3097.1,대전,
서구,도솔로175번길,100,1,0,54.2,변동근린공원,2223.7,용문,
서구,변정1길,100,1,0,68.2,변동시장,1917.6,용문,
서구,변정7길,100,0,0,133.6,향우네거리,2112.2,용문,
중구,당디로124번길,100,0,0,140.7,서부종합시장,1859.4,오룡,
중구,충무로68번길,100,3,0,48.4,보문오거리,988.6,중구청,
중구,보문산공원로530번길,100,0,0,113.3,보문산진입로,1223.0,중구청,
중구,대둔산로414번길,100,1,0,66.3,산성동새마을회관,2480.6,서대전네거리,
중구,보문산로122번길,100,3,0,55.8,보성네거리,2587.3,서대전네거리,
중구,대둔산로386번길,100,2,0,66.1,산성네거리,3102.9,서대전네거리,
서구,계백로1158번길,100,0,0,215.8,가수원동,5468.8,용문,
합계,37조각 · 반경 안 유입 지점 있는 조각 15,100,25,1,,,,,위치 연결 · 유입 규모는 대중교통유입규모_26개소.csv(transit_inflow_volume.py)
