시군구,조각,유형,번호,이름,모바일단축번호,거리(m),반경안
동구,계족로330번길,버스정류장,DJB8001996,성남네거리,11980,109.1,N
동구,계족로330번길,도시철도역사,104,대전,,1227.2,N
동구,계족로336번길,버스정류장,DJB8001996,성남네거리,11980,126.5,N
동구,계족로336번길,도시철도역사,104,대전,,1269.6,N
동구,동대전로110번길,버스정류장,DJB8002344,우송고등학교,11240,117.9,N
동구,동대전로110번길,도시철도역사,103,대동,,334.9,N
동구,역전시장길7,버스정류장,DJB8003054,대전역/역전시장,14270,88.2,Y
동구,역전시장길7,도시철도역사,104,대전,,97.5,Y
동구,역전시장길75,버스정류장,DJB8002358,중앙시장,10060,65.2,Y
동구,역전시장길75,버스정류장,DJB8002634,중앙시장,10050,79.0,Y
동구,역전시장길75,도시철도역사,104,대전,,340.4,N
중구,목척3길,버스정류장,DJB8002633,중앙로역8번출구,20010,97.2,Y
중구,목척3길,도시철도역사,105,중앙로,,233.9,N
중구,목척5길,버스정류장,DJB8002632,중앙로역7번출구,20280,167.6,N
중구,목척5길,도시철도역사,105,중앙로,,353.8,N
동구,진수길,버스정류장,DJB8002039,중앙동주민센터,11460,38.0,Y
동구,진수길,버스정류장,DJB8002040,중앙동주민센터,11450,97.6,Y
동구,진수길,도시철도역사,103,대동,,673.4,N
동구,진보길,버스정류장,DJB8002040,중앙동주민센터,11450,72.0,Y
동구,진보길,버스정류장,DJB8002039,중앙동주민센터,11460,85.7,Y
동구,진보길,도시철도역사,104,대전,,757.6,N
동구,수양길,버스정류장,DJB8003127,우송중고등학교,14820,69.5,Y
동구,수양길,도시철도역사,103,대동,,640.3,N
중구,대종로601번길,버스정류장,DJB8001990,세명요양병원,20140,76.6,Y
중구,대종로601번길,버스정류장,DJB8001991,선화동천주교회,20130,97.5,Y
중구,대종로601번길,도시철도역사,105,중앙로,,1063.0,N
동구,대전천북로116번길,버스정류장,DJB8001870,삼성2동,12170,18.2,Y
동구,대전천북로116번길,버스정류장,DJB8007220,삼성2동,14540,24.4,Y
동구,대전천북로116번길,도시철도역사,105,중앙로,,1506.4,N
서구,갈마중로28번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,31950,225.2,N
서구,갈마중로28번길,도시철도역사,110,탄방,,1050.7,N
서구,갈마중로30번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,31950,250.4,N
서구,갈마중로30번길,도시철도역사,110,탄방,,1090.1,N
서구,갈마중로46번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,31950,138.4,N
서구,갈마중로46번길,도시철도역사,110,탄방,,958.4,N
서구,문정로170번길,버스정류장,DJB8001655,문정초등학교,31280,147.2,N
서구,문정로170번길,도시철도역사,111,시청,,903.2,N
서구,문정로112번안길,버스정류장,DJB8002869,한가람아파트,31170,98.8,Y
서구,문정로112번안길,도시철도역사,110,탄방,,670.8,N
서구,남선로9번길,버스정류장,DJB8002870,한가람아파트,31180,340.5,N
서구,남선로9번길,도시철도역사,109,용문,,709.3,N
대덕구,계족산로5번안길 22,버스정류장,DJB8001744,법동전통시장,51180,132.4,N
대덕구,계족산로5번안길 22,도시철도역사,104,대전,,3954.1,N
대덕구,계족로608번길 30,버스정류장,DJB8001744,법동전통시장,51180,159.4,N
대덕구,계족로608번길 30,도시철도역사,104,대전,,3842.5,N
대덕구,대전로1375번길 22-14,버스정류장,DJB8003011,회덕동주민센터,50670,106.7,N
대덕구,대전로1375번길 22-14,도시철도역사,112,정부청사,,4104.2,N
대덕구,대전로1397번길 50,버스정류장,DJB8003011,회덕동주민센터,50670,336.6,N
대덕구,대전로1397번길 50,도시철도역사,112,정부청사,,4242.9,N
대덕구,청자마을길 28,버스정류장,DJB8002777,태양마을,52380,315.6,N
대덕구,청자마을길 28,도시철도역사,112,정부청사,,10180.8,N
대덕구,태양마을길 28,버스정류장,DJB8002777,태양마을,52380,157.4,N
대덕구,태양마을길 28,도시철도역사,112,정부청사,,10162.2,N
대덕구,동심9길,버스정류장,DJB8001459,대화동행정복지센터,50480,293.8,N
대덕구,동심9길,도시철도역사,111,시청,,2654.8,N
대덕구,늘봄2길,버스정류장,DJB8002361,원명학교,50540,347.6,N
대덕구,늘봄2길,도시철도역사,111,시청,,2882.9,N
대덕구,동춘당로31번길,버스정류장,DJB8001958,서오아파트,51530,179.7,N
대덕구,동춘당로31번길,도시철도역사,104,대전,,3097.1,N
서구,도솔로175번길,버스정류장,DJB8001257,변동근린공원,30590,54.2,Y
서구,도솔로175번길,도시철도역사,109,용문,,2223.7,N
서구,변정1길,버스정류장,DJB8001734,변동시장,30310,68.2,Y
서구,변정1길,도시철도역사,109,용문,,1917.6,N
서구,변정7길,버스정류장,DJB8002966,향우네거리,30260,133.6,N
서구,변정7길,도시철도역사,109,용문,,2112.2,N
중구,당디로124번길,버스정류장,DJB8001953,서부종합시장,21690,140.7,N
중구,당디로124번길,도시철도역사,108,오룡,,1859.4,N
중구,충무로68번길,버스정류장,DJB8001746,보문오거리,21030,48.4,Y
중구,충무로68번길,버스정류장,DJB9001746,보문오거리,,48.4,Y
중구,충무로68번길,버스정류장,DJB8005998,보문오거리,23260,78.0,Y
중구,충무로68번길,도시철도역사,106,중구청,,988.6,N
중구,보문산공원로530번길,버스정류장,DJB8007002,보문산진입로,23310,113.3,N
중구,보문산공원로530번길,도시철도역사,106,중구청,,1223.0,N
중구,대둔산로414번길,버스정류장,DJB8001850,산성동새마을회관,22410,66.3,Y
중구,대둔산로414번길,도시철도역사,107,서대전네거리,,2480.6,N
중구,보문산로122번길,버스정류장,DJB8007032,보성네거리,23480,55.8,Y
중구,보문산로122번길,버스정류장,DJB8002764,탑골입구,22420,66.3,Y
중구,보문산로122번길,버스정류장,DJB8001750,보성초등학교,22440,87.4,Y
중구,보문산로122번길,도시철도역사,107,서대전네거리,,2587.3,N
