시군구,조각,유형,번호,이름,거리(m),반경안,집계기간,일수,일평균 승차,일평균 하차,일평균 승하차,평일 일평균 승하차,시간대 해상도,평일 최대시간대,평일 최대시간대 승하차,결합키,출처,비고
동구,계족로330번길,버스정류장,DJB8001996,성남네거리,109.1,N,2026-07-01~07-31,31,567.5,577.6,1145.2,1263.9,일(시간대 없음),,,정류장번호 숫자부 8001996,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,계족로330번길,도시철도역사,104,대전,1227.2,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
동구,계족로336번길,버스정류장,DJB8001996,성남네거리,126.5,N,2026-07-01~07-31,31,567.5,577.6,1145.2,1263.9,일(시간대 없음),,,정류장번호 숫자부 8001996,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,계족로336번길,도시철도역사,104,대전,1269.6,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
동구,동대전로110번길,버스정류장,DJB8002344,우송고등학교,117.9,N,2026-07-01~07-31,31,315.1,333.4,648.5,715.5,일(시간대 없음),,,정류장번호 숫자부 8002344,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,동대전로110번길,도시철도역사,103,대동,334.9,N,2026-07-01~07-31,31,3804.5,3360.8,7165.4,7996.7,1시간,08-09시,1000.9,역번호 103→1103,공공데이터포털 15060591 (2026-07-31 갱신),
동구,역전시장길7,버스정류장,DJB8003054,대전역/역전시장,88.2,Y,2026-07-01~07-31,31,348.9,582.9,931.8,957.4,일(시간대 없음),,,정류장번호 숫자부 8003054,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,역전시장길7,도시철도역사,104,대전,97.5,Y,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
동구,역전시장길75,버스정류장,DJB8002358,중앙시장,65.2,Y,2026-07-01~07-31,31,293.8,758.0,1051.8,1112.7,일(시간대 없음),,,정류장번호 숫자부 8002358,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,역전시장길75,버스정류장,DJB8002634,중앙시장,79.0,Y,2026-07-01~07-31,31,1008.0,447.8,1455.8,1525.4,일(시간대 없음),,,정류장번호 숫자부 8002634,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,역전시장길75,도시철도역사,104,대전,340.4,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
중구,목척3길,버스정류장,DJB8002633,중앙로역8번출구,97.2,Y,2026-07-01~07-31,31,340.9,132.2,473.1,498.8,일(시간대 없음),,,정류장번호 숫자부 8002633,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,목척3길,도시철도역사,105,중앙로,233.9,N,2026-07-01~07-31,31,7667.1,8313.2,15980.3,15762.8,1시간,18-19시,1745.1,역번호 105→1105,공공데이터포털 15060591 (2026-07-31 갱신),
중구,목척5길,버스정류장,DJB8002632,중앙로역7번출구,167.6,N,2026-07-01~07-31,31,126.3,404.2,530.5,555.6,일(시간대 없음),,,정류장번호 숫자부 8002632,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,목척5길,도시철도역사,105,중앙로,353.8,N,2026-07-01~07-31,31,7667.1,8313.2,15980.3,15762.8,1시간,18-19시,1745.1,역번호 105→1105,공공데이터포털 15060591 (2026-07-31 갱신),
동구,진수길,버스정류장,DJB8002039,중앙동주민센터,38.0,Y,2026-07-01~07-31,31,111.5,110.2,221.7,242.0,일(시간대 없음),,,정류장번호 숫자부 8002039,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,진수길,버스정류장,DJB8002040,중앙동주민센터,97.6,Y,2026-07-01~07-31,31,69.9,57.6,127.5,131.2,일(시간대 없음),,,정류장번호 숫자부 8002040,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,진수길,도시철도역사,103,대동,673.4,N,2026-07-01~07-31,31,3804.5,3360.8,7165.4,7996.7,1시간,08-09시,1000.9,역번호 103→1103,공공데이터포털 15060591 (2026-07-31 갱신),
동구,진보길,버스정류장,DJB8002040,중앙동주민센터,72.0,Y,2026-07-01~07-31,31,69.9,57.6,127.5,131.2,일(시간대 없음),,,정류장번호 숫자부 8002040,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,진보길,버스정류장,DJB8002039,중앙동주민센터,85.7,Y,2026-07-01~07-31,31,111.5,110.2,221.7,242.0,일(시간대 없음),,,정류장번호 숫자부 8002039,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
