시군구,조각,도로명,축선거리(m),면안축선(m),표본점,내접폭 최소(m),내접폭 중앙(m),차감폭 최소(m),판정(내접폭),판정(차감폭),담장,옹벽,계단,RVWD(m),미산출 사유
동구,계족로330번길,계족로330번길,17.7,56.0,53,4.5,4.5,4.5,폭축_통과후보,폭축_통과후보,4,2,0,4.5,
동구,계족로336번길,계족로336번길,6.1,38.0,35,2.42,3.75,2.42,BLOCKED,BLOCKED,0,6,0,6,
동구,동대전로110번길,동대전로110번길,6.4,42.3,39,7.43,7.49,7.43,폭축_통과후보,폭축_통과후보,4,2,0,7.6,
동구,역전시장길7,역전시장길,18.7,19.8,16,2.54,5.12,2.54,CONDITIONAL_C,CONDITIONAL_C,5,5,0,5.9,
동구,역전시장길75,역전시장길,17.3,44.6,41,5.82,6.85,5.82,폭축_통과후보,폭축_통과후보,11,0,0,6.9,
중구,목척3길,목척3길,9.6,37.8,34,5.03,5.94,5.03,폭축_통과후보,폭축_통과후보,2,0,1,8.2,
중구,목척5길,목척5길,11.6,18.3,15,5.0,5.0,5.0,폭축_통과후보,폭축_통과후보,4,1,0,5,
동구,진수길,진수길,7.7,78.7,75,1.35,3.0,1.35,BLOCKED,BLOCKED,0,1,0,3,
동구,진보길,진보길,30.6,64.2,61,1.91,3.5,1.91,BLOCKED,BLOCKED,2,2,0,3.5,
동구,수양길,수양길,8.7,,,,,,,,,,,2.5,축선이 도로경계 면 안에 들어가지 않음
중구,대종로601번길,대종로601번길,14.7,86.1,83,5.48,6.44,5.48,폭축_통과후보,폭축_통과후보,4,1,0,6.6,
동구,대전천북로116번길,대전천북로116번길,9.7,80.6,77,4.18,4.73,4.18,폭축_통과후보,폭축_통과후보,1,5,0,4.7,
서구,갈마중로28번길,갈마중로28번길,11.2,63.1,60,4.0,4.0,4.0,폭축_통과후보,폭축_통과후보,11,7,0,4,
서구,갈마중로30번길,갈마중로30번길,7.6,28.2,25,3.79,5.66,3.79,폭축_통과후보,폭축_통과후보,10,7,0,6.7,
서구,갈마중로46번길,갈마중로46번길,10.1,71.3,68,5.91,6.04,5.91,폭축_통과후보,폭축_통과후보,7,2,0,6,
서구,문정로170번길,문정로170번길,12.2,18.7,15,7.73,7.82,7.73,폭축_통과후보,폭축_통과후보,11,0,0,8,
서구,문정로112번안길,문정로112번안길,10.6,52.4,49,5.93,5.94,5.93,폭축_통과후보,폭축_통과후보,10,9,0,8,
서구,남선로9번길,남선로9번길,9.9,34.6,31,5.78,5.85,5.78,폭축_통과후보,폭축_통과후보,11,9,1,6,
대덕구,계족산로5번안길 22,계족산로5번안길,14.2,105.0,102,14.99,15.0,14.99,폭축_통과후보,폭축_통과후보,7,7,0,15,
대덕구,계족로608번길 30,계족로608번길,12.0,22.2,19,7.99,8.0,7.99,폭축_통과후보,폭축_통과후보,9,3,0,8,
대덕구,대전로1375번길 22-14,대전로1375번길,9.8,28.0,25,1.81,2.59,1.81,BLOCKED,BLOCKED,10,4,1,3,
대덕구,대전로1397번길 50,대전로1397번길,6.9,9.1,,,,,UNKNOWN_FAIL_CLOSED,,,,,6,면 안 축선 9.1 m < 14.0 m
대덕구,청자마을길 28,청자마을길,8.2,55.6,52,3.49,3.5,3.49,CONDITIONAL_C,CONDITIONAL_C,2,3,0,3.5,
대덕구,태양마을길 28,태양마을길,5.6,,,,,,,,,,,1.5,축선이 도로경계 면 안에 들어가지 않음
대덕구,동심9길,동심9길,5.7,61.3,58,2.02,2.54,2.02,BLOCKED,BLOCKED,11,3,0,3.5,
대덕구,늘봄2길,늘봄2길,6.6,73.7,70,4.0,4.0,4.0,폭축_통과후보,폭축_통과후보,2,6,1,4,
대덕구,동춘당로31번길,동춘당로31번길,10.5,81.8,78,5.02,6.61,5.02,폭축_통과후보,폭축_통과후보,4,2,0,7.3,
서구,도솔로175번길,도솔로175번길,10.4,58.1,55,5.18,5.56,5.18,폭축_통과후보,폭축_통과후보,16,11,2,6,
서구,변정1길,변정1길,21.8,65.1,62,5.61,6.0,5.61,폭축_통과후보,폭축_통과후보,4,3,0,6,
서구,변정7길,변정7길,8.7,26.0,23,2.99,3.0,2.99,CONDITIONAL_C,CONDITIONAL_C,0,0,0,3,
중구,당디로124번길,당디로124번길,12.4,36.4,33,5.76,5.96,5.76,폭축_통과후보,폭축_통과후보,4,3,0,6.1,
중구,충무로68번길,충무로68번길,9.5,46.2,43,4.56,4.95,4.56,폭축_통과후보,폭축_통과후보,3,7,0,5,
중구,보문산공원로530번길,보문산공원로530번길,14.0,14.4,11,3.97,4.0,3.97,폭축_통과후보,폭축_통과후보,1,2,0,4,
중구,대둔산로414번길,대둔산로414번길,7.7,135.2,132,3.5,3.5,3.5,CONDITIONAL_C,CONDITIONAL_C,6,3,0,3.5,
중구,보문산로122번길,보문산로122번길,9.5,4.6,,,,,UNKNOWN_FAIL_CLOSED,,,,,4,면 안 축선 4.6 m < 14.0 m
중구,대둔산로386번길,대둔산로386번길,10.3,20.8,17,2.15,2.24,2.15,BLOCKED,BLOCKED,3,2,0,3,
서구,계백로1158번길,계백로1158번길,8.0,160.0,156,6.71,7.91,6.71,폭축_통과후보,폭축_통과후보,8,5,6,8,
