범위,원천,기준,대로,로,길,번길,기타,길+번길,비고
전국,도로명주소도로,"길이(road_lt, 단위 미확인)",0.1469,0.7244,0.1063,0.0223,0.0,0.1286,결측 0
전국,표준노드링크,길이(LENGTH m),0.0587,0.6716,0.1803,0.052,0.0374,0.2323,
전국,도로명주소도로,건수,0.0109,0.226,0.5783,0.1845,0.0004,0.7627,
전국,표준노드링크,건수,0.0463,0.5696,0.2353,0.1021,0.0467,0.3374,
36,도로명주소도로,길이,0.0076,0.6645,0.3279,0.0,0.0,0.3279,구간 4213
강원특별자치도,도로명주소도로,길이,0.1747,0.771,0.0495,0.0047,0.0001,0.0542,구간 52197
강원특별자치도,표준노드링크,길이,0.0392,0.7141,0.1917,0.0216,0.0334,0.2133,링크 110937
경기도,도로명주소도로,길이,0.1646,0.7194,0.0573,0.0586,0.0,0.116,구간 115785
경기도,표준노드링크,길이,0.061,0.681,0.0997,0.1139,0.0445,0.2136,링크 277548
경상남도,도로명주소도로,길이,0.3583,0.4986,0.1033,0.0398,0.0,0.1431,구간 88793
경상남도,표준노드링크,길이,0.1071,0.6292,0.1546,0.0678,0.0412,0.2224,링크 146552
경상북도,도로명주소도로,길이,0.1775,0.7005,0.114,0.008,0.0,0.122,구간 123763
경상북도,표준노드링크,길이,0.0577,0.6633,0.2342,0.0214,0.0234,0.2557,링크 158248
대구광역시,도로명주소도로,길이,0.2411,0.5839,0.175,0.0,0.0,0.175,구간 25881
대구광역시,표준노드링크,길이,0.0599,0.5545,0.3334,0.0,0.0522,0.3334,링크 44362
대전광역시,도로명주소도로,길이,0.0767,0.8136,0.0378,0.0718,0.0,0.1096,구간 9294
대전광역시,표준노드링크,길이,0.0767,0.6319,0.0401,0.2002,0.0511,0.2403,링크 25471
부산광역시,도로명주소도로,길이,0.2513,0.5155,0.1134,0.1197,0.0,0.2332,구간 31066
부산광역시,표준노드링크,길이,0.152,0.5889,0.0839,0.1364,0.0387,0.2204,링크 27522
서울특별시,도로명주소도로,길이,0.0624,0.7455,0.1913,0.0,0.0007,0.1914,구간 66689
서울특별시,표준노드링크,길이,0.0883,0.5519,0.3473,0.0002,0.0122,0.3475,링크 63383
울산광역시,도로명주소도로,길이,0.0857,0.7323,0.1623,0.0193,0.0003,0.1817,구간 10002
울산광역시,표준노드링크,길이,0.022,0.6246,0.2991,0.0,0.0542,0.2991,링크 31327
인천광역시,도로명주소도로,길이,0.1091,0.6959,0.0398,0.1553,0.0,0.195,구간 18365
인천광역시,표준노드링크,길이,0.1344,0.5704,0.0289,0.2002,0.0662,0.229,링크 41318
전남광주통합특별시,도로명주소도로,길이,0.1101,0.6535,0.2254,0.011,0.0,0.2364,구간 100855
전남광주통합특별시,표준노드링크,길이,0.0463,0.6412,0.2368,0.0422,0.0336,0.2789,링크 165859
전북특별자치도,도로명주소도로,길이,0.0387,0.7923,0.169,0.0,0.0,0.169,구간 81039
전북특별자치도,표준노드링크,길이,0.0308,0.7132,0.2249,0.0,0.0311,0.2249,링크 111494
제주특별자치도,도로명주소도로,길이,0.0002,0.9369,0.0439,0.0189,0.0,0.0629,구간 17719
제주특별자치도,표준노드링크,길이,0.0028,0.7984,0.1135,0.0725,0.0127,0.186,링크 37087
충청남도,도로명주소도로,길이,0.0117,0.8516,0.1159,0.0207,0.0,0.1367,구간 88331
충청남도,표준노드링크,길이,0.036,0.7273,0.1677,0.0317,0.0373,0.1994,링크 126066
충청북도,도로명주소도로,길이,0.1368,0.6927,0.1501,0.0204,0.0,0.1705,구간 41900
충청북도,표준노드링크,길이,0.0547,0.704,0.1727,0.0351,0.0335,0.2078,링크 95064
혼재,표준노드링크,길이,0.0636,0.682,0.1538,0.041,0.0596,0.1948,링크 100118
