조각,마스크 행,A,L,S,L/S,R,원 플래그(spec),반올림 값 재판정,뒤집힌 경계,버퍼 안(corridor),차량 후보(원 판정),최종 영향
목척5길,101,4.01,3.69,1.76,2.0966,0.62,False,True,직사각도 R 하한 0.62 (값 0.62),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
수양길,41,3.49,3.06,1.4,2.1857,0.82,False,True,단변 S(m) 하한 1.4 (값 1.4),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
갈마중로46번길,81,7.25,5.85,1.4,4.1786,0.89,False,True,단변 S(m) 하한 1.4 (값 1.4),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
계족로608번길 30,105,5.97,6.01,1.6,3.7562,0.62,False,True,직사각도 R 하한 0.62 (값 0.62),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
대전로1375번길 22-14,51,13.27,6.89,2.8,2.4607,0.69,False,True,단변 S(m) 상한 2.8 (값 2.8),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
대전로1375번길 22-14,83,11.24,4.49,2.8,1.6036,0.89,False,True,단변 S(m) 상한 2.8 (값 2.8) · L/S 하한 1.6 (값 1.6036),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
대전로1397번길 50,9,14.79,6.57,2.8,2.3464,0.8,False,True,단변 S(m) 상한 2.8 (값 2.8),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
태양마을길 28,87,4.31,3.42,1.4,2.4429,0.9,False,True,단변 S(m) 하한 1.4 (값 1.4),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
태양마을길 28,117,4.69,3.65,1.4,2.6071,0.92,False,True,단변 S(m) 하한 1.4 (값 1.4),True,False,산출 영향 없음 — 원 실행은 반올림 전 값으로 판정해 제외했다. 반올림 값으로 판정했다면 차량 후보가 되어 W_worst 5.0 → 3.49 m(밴드 폭축_통과후보 → CONDITIONAL_C) — 경계 1 cm 미만 차이에 판정이 걸린 사례
동심9길,31,3.22,3.37,1.55,2.1742,0.62,False,True,직사각도 R 하한 0.62 (값 0.62),False,False,산출 영향 없음 — 버퍼 밖이라 어느 판정으로도 차량 후보가 아니다
