변수,배율,하한,상한,차량 후보 수,규격 통과 수,버퍼 밖 제외율(%),최종채택 변동 조각,판정(밴드) 변동 조각,분리 방식 변동 조각,판정 불변율(%)
면적 A 상하한,0.9,2.7,18.0,71,708,90.0,0,0,0,100.0
면적 A 상하한,1.1,3.3,22.0,71,709,90.0,0,0,0,100.0
장변 L 상하한,0.9,2.7,6.75,78,724,89.2,2,0,0,100.0
장변 L 상하한,1.1,3.3,8.25,63,675,90.7,1,1,1,97.3
단변 S 상하한,0.9,1.26,2.52,76,679,88.8,4,4,4,89.2
단변 S 상하한,1.1,1.54,3.08,68,720,90.6,4,3,4,91.9
L/S 상하한,0.9,1.44,3.78,77,765,89.9,2,1,2,97.3
L/S 상하한,1.1,1.76,4.62,64,637,90.0,3,1,2,97.3
직사각도 R 하한,0.9,0.558,,72,731,90.2,1,0,0,100.0
직사각도 R 하한,1.1,0.682,,70,669,89.5,1,0,0,100.0
