연번,시군구,조각,반경100m_방범CCTV,최근접거리_m,최근접_관리기관,최근접_카메라대수,최근접_화소수
1,동구,계족로330번길,2,35.5,대전광역시 동구청,2,
1,동구,계족로336번길,3,27.9,대전광역시 동구청,1,
2,동구,동대전로110번길,1,30.8,대전광역시 동구청,1,
2,동구,대동 산 1번지,5,51.5,대전광역시 동구청,3,
3,동구,역전시장길7,0,,,,
3,동구,역전시장길75,1,75.3,대전광역시 동구청,2,
4,중구,대전천서로277,11,49.6,대전광역시 중구청,2,200
4,중구,문창로10번길46,10,44.5,대전광역시 중구청,2,200
5,중구,목척3길,11,23.2,대전광역시 중구청,2,200
5,중구,목척5길,6,76.4,대전광역시 중구청,1,200
6,동구,진수길,4,56.9,대전광역시 동구청,2,
6,동구,진보길,5,44.3,대전광역시 동구청,2,
6,동구,수양길,5,38.4,대전광역시 동구청,1,
7,중구,대종로601번길,19,24.6,대전광역시 중구청,1,200
8,중구,옥계아파트,14,38.1,대전광역시 중구청,2,200
9,동구,대전천북로116번길,2,48.1,대전광역시 동구청,4,
10,서구,갈마중로28번길,1,73.6,대전광역시 서구청,1,200
10,서구,갈마중로30번길,2,46.5,대전광역시 서구청,1,200
10,서구,갈마중로46번길,3,44.3,대전광역시 서구청,1,200
11,서구,문정로170번길,3,16.8,대전광역시 서구청,1,200
12,서구,문정로112번안길,2,55.7,대전광역시 서구청,1,200
12,서구,남선로9번길,4,22.1,대전광역시 서구청,2,200
13,대덕구,중리로 74-1,0,,,,
13,대덕구,중리로64번길 2,0,,,,
14,대덕구,계족산로5번안길 22,0,,,,
14,대덕구,계족로608번길 30,0,,,,
15,대덕구,대전로1375번길 22-14,0,,,,
16,대덕구,대전로1397번길 50,0,,,,
17,대덕구,청자마을길 28,0,,,,
18,대덕구,태양마을길 28,0,,,,
19,대덕구,동심9길,0,,,,
20,대덕구,늘봄2길,0,,,,
21,대덕구,홍도로55번길,0,,,,
23,대덕구,동춘당로31번길,0,,,,
24,유성구,신성남로 43,0,,,,
25,유성구,유성대로718번길,0,,,,
25,유성구,온천서로 38,0,,,,
26,서구,도마5길 56,1,88.4,대전광역시 서구청,2,200
27,서구,도솔로175번길,2,45.7,대전광역시 서구청,1,200
28,서구,변정1길,2,41.3,대전광역시 서구청,2,200
28,서구,변정7길,2,79.3,대전광역시 서구청,3,200
29,중구,당디로124번길,6,41.7,대전광역시 중구청,2,200
31,중구,충무로68번길,12,26.3,대전광역시 중구청,2,200
32,중구,보문산공원로530번길,11,95.5,대전광역시 중구청,2,200
33,중구,대둔산로414번길,6,93.6,대전광역시 중구청,1,200
34,중구,천근로 8,3,25.1,대전광역시 중구청,2,200
34,중구,송리로1번길,0,,,,
35,중구,보문산로122번길,5,12.2,대전광역시 중구청,2,200
35,중구,대둔산로386번길,1,83.5,대전광역시 중구청,2,200
36,서구,계백로1158번길,2,42.7,대전광역시 서구청,2,200
37,중구,문화로 133,11,77.7,대전광역시 중구청,2,200
37,중구,문화로134번길,6,85.4,대전광역시 중구청,1,200
37,중구,당디로36번길,0,,,,
