시군구,조각,도로명,내접폭최소,유효폭판정,계단,단차판정,경사,기울기판정
동구,계족로330번길,계족로330번길,4.5,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,계족로336번길,계족로336번길,2.42,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,동대전로110번길,동대전로110번길,7.43,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,역전시장길7,역전시장길,2.54,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,역전시장길75,역전시장길,5.82,유효폭 충족,0,계단 0,,NOT_COMPUTED
중구,목척3길,목척3길,5.03,유효폭 충족,1,단차기준 미충족(계단 1),,NOT_COMPUTED
중구,목척5길,목척5길,5.0,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,진수길,진수길,1.35,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,진보길,진보길,1.91,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,수양길,수양길,,NOT_COMPUTED,,NOT_COMPUTED,,NOT_COMPUTED
중구,대종로601번길,대종로601번길,5.48,유효폭 충족,0,계단 0,,NOT_COMPUTED
동구,대전천북로116번길,대전천북로116번길,4.18,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,갈마중로28번길,갈마중로28번길,4.0,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,갈마중로30번길,갈마중로30번길,3.79,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,갈마중로46번길,갈마중로46번길,5.91,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,문정로170번길,문정로170번길,7.73,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,문정로112번안길,문정로112번안길,5.93,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,남선로9번길,남선로9번길,5.78,유효폭 충족,1,단차기준 미충족(계단 1),,NOT_COMPUTED
대덕구,계족산로5번안길 22,계족산로5번안길,14.99,유효폭 충족,0,계단 0,,NOT_COMPUTED
대덕구,계족로608번길 30,계족로608번길,7.99,유효폭 충족,0,계단 0,,NOT_COMPUTED
대덕구,대전로1375번길 22-14,대전로1375번길,1.81,유효폭 충족,1,단차기준 미충족(계단 1),,NOT_COMPUTED
대덕구,대전로1397번길 50,대전로1397번길,,NOT_COMPUTED,,NOT_COMPUTED,,NOT_COMPUTED
대덕구,청자마을길 28,청자마을길,3.49,유효폭 충족,0,계단 0,,NOT_COMPUTED
대덕구,태양마을길 28,태양마을길,,NOT_COMPUTED,,NOT_COMPUTED,,NOT_COMPUTED
대덕구,동심9길,동심9길,2.02,유효폭 충족,0,계단 0,,NOT_COMPUTED
대덕구,늘봄2길,늘봄2길,4.0,유효폭 충족,1,단차기준 미충족(계단 1),,NOT_COMPUTED
대덕구,동춘당로31번길,동춘당로31번길,5.02,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,도솔로175번길,도솔로175번길,5.18,유효폭 충족,2,단차기준 미충족(계단 2),,NOT_COMPUTED
서구,변정1길,변정1길,5.61,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,변정7길,변정7길,2.99,유효폭 충족,0,계단 0,,NOT_COMPUTED
중구,당디로124번길,당디로124번길,5.76,유효폭 충족,0,계단 0,,NOT_COMPUTED
중구,충무로68번길,충무로68번길,4.56,유효폭 충족,0,계단 0,,NOT_COMPUTED
중구,보문산공원로530번길,보문산공원로530번길,3.97,유효폭 충족,0,계단 0,,NOT_COMPUTED
중구,대둔산로414번길,대둔산로414번길,3.5,유효폭 충족,0,계단 0,0.04,기울기 충족
중구,보문산로122번길,보문산로122번길,,NOT_COMPUTED,,NOT_COMPUTED,,NOT_COMPUTED
중구,대둔산로386번길,대둔산로386번길,2.15,유효폭 충족,0,계단 0,,NOT_COMPUTED
서구,계백로1158번길,계백로1158번길,6.71,유효폭 충족,6,단차기준 미충족(계단 6),1.44,기울기 충족
