연번,개소,폭 판정(전개지점 조각),큰 길(대기),큰 길 거리(m),큰 길 조회,순서,대기 규칙,seconds
1,,폭축_통과후보,우암로,50.9,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
2,,폭축_통과후보,동대전로,17.1,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
3,,CONDITIONAL_C,중앙로,58.2,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
4,,폭축_통과후보,대종로,94.4,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
5,,BLOCKED,계족로,44.1,조회됨,배정하지 않음(fail-closed — 개소의 모든 조각이 BLOCKED 또는 UNKNOWN),구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
6,,폭축_통과후보,대종로,85.2,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
7,,폭축_통과후보,대전천북로,14.7,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
8,,폭축_통과후보,갈마중로,26.2,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
9,,폭축_통과후보,둔산남로,41.1,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
10,,폭축_통과후보,문정로,111.8,조회됨,1 펌프차 진입·전개 → 2 구조차 대기 후 진입 → 3 구급차 대기 후 진입,구조차·구급차는 골목 진입 전 큰 길에서 대기(펌프 통행 비간섭),NOT_COMPUTED
