조각,도로명,링크길이 L(m),최종채택 W(m),판정(폭 축),분리방식(폭 축),보행 통과시간 T_ped(s),긴급+보행 동시통행,긴급+일반 동시통행,보행 선행 시 긴급차량 대기(s),속도근거,폭근거,근거등급
계족로330번길,계족로330번길,56.0,3.00,CONDITIONAL_C,시간,56.0,불가,불가,56.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
계족로336번길,계족로336번길,38.0,2.00,BLOCKED,시간,38.0,불가,불가,38.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
동대전로110번길,동대전로110번길,42.3,1.92,BLOCKED,시간,42.3,불가,불가,42.3,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
역전시장길7,역전시장길,19.8,-0.06,BLOCKED,통과불가,19.8,불가,불가,19.8,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
역전시장길75,역전시장길,44.6,3.00,CONDITIONAL_C,시간,44.6,불가,불가,44.6,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
목척3길,목척3길,37.8,5.03,폭축_통과후보,공간,37.8,가능,가능,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
목척5길,목척5길,18.3,1.59,BLOCKED,통과불가,18.3,불가,불가,18.3,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
진수길,진수길,78.7,1.35,BLOCKED,통과불가,78.7,불가,불가,78.7,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
진보길,진보길,64.2,-0.72,BLOCKED,통과불가,64.2,불가,불가,64.2,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
대종로601번길,대종로601번길,86.1,5.48,폭축_통과후보,공간,86.1,가능,가능,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
대전천북로116번길,대전천북로116번길,80.6,1.05,BLOCKED,통과불가,80.6,불가,불가,80.6,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
갈마중로28번길,갈마중로28번길,63.1,4.00,폭축_통과후보,공간,63.1,가능,불가,0.0,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
갈마중로30번길,갈마중로30번길,28.2,3.40,CONDITIONAL_C,시간,28.2,불가,불가,28.2,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
갈마중로46번길,갈마중로46번길,71.3,3.44,CONDITIONAL_C,시간,71.3,불가,불가,71.3,v_ped=1.0 m/s 도로교통법 시행규칙 보행신호 산정,E=2.5 KFS 0008 3.3 · P=1.2 편의증진법 별표1 · G=2.0 도로구조규칙 제5조,A (전부 법정·공개)
