연번,시군구,개소,전개 후보지점,전개지점 상태,최근접 용수 직선거리(m),시설유형코드(의미 미정의),시설번호,water_reach_status,등급 상한
1,동구,,계족로330번길,전개 후보지점(1차),68.2,1,동부 가양지상-225,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
2,동구,,동대전로110번길,전개 후보지점(1차),134.2,2,동부 가양지하-111,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
3,동구,,역전시장길7,전개 후보지점(1차),125.9,2,동부 원동지하-305,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
4,중구,,목척3길,전개 후보지점(1차),18.1,2,동부 원동지하-131,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
5,동구,,진수길,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,86.3,2,동부 가양지하-10,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
6,중구,,대종로601번길,전개 후보지점(1차),43.2,2,동부 삼성지하-167,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
7,동구,,대전천북로116번길,전개 후보지점(1차),45.8,1,동부 삼성지상-186,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
8,서구,,갈마중로28번길,전개 후보지점(1차),44.5,2,갈마지하-14,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
9,서구,,문정로170번길,전개 후보지점(1차),38.8,5,샘머리승하강-4,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
10,서구,,문정로112번안길,전개 후보지점(1차),42.5,1,탄방지상-234,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
11,대덕구,,계족산로5번안길 22,전개 후보지점(1차),0.2,1,법동지상-147,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
12,대덕구,,대전로1375번길 22-14,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,70.1,2,법동지하-169,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
13,대덕구,,대전로1397번길 50,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,34.8,2,법동지하-204,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
14,대덕구,,청자마을길 28,전개 후보지점(1차),46.4,6,덕암센터-001,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
15,대덕구,,태양마을길 28,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,41.6,6,덕암센터-002,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
16,대덕구,,동심9길,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,50.7,2,대화지하-022,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
17,대덕구,,늘봄2길,전개 후보지점(1차),69.2,6,대화센터-시민1,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
18,대덕구,,동춘당로31번길,전개 후보지점(1차),87.3,2,송촌지하-143,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
19,서구,,도솔로175번길,전개 후보지점(1차),159.7,3,서부급수-24,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
20,서구,,변정1길,전개 후보지점(1차),45.6,3,서부급수-13,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
21,중구,,당디로124번길,전개 후보지점(1차),42.9,2,서부지하-82,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
22,중구,,충무로68번길,전개 후보지점(1차),37.3,2,서부지하-37,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
23,중구,,보문산공원로530번길,전개 후보지점(1차),28.7,2,서부지하-33,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
24,중구,,대둔산로414번길,전개 후보지점(1차),119.3,1,서부지상-17,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
25,중구,,보문산로122번길,UNKNOWN_FAIL_CLOSED(개소 조각이 전부 BLOCKED·UNKNOWN) — 거리는 대표점 기준 병기,152.4,1,서부지상-20,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
26,서구,,계백로1158번길,전개 후보지점(1차),33.1,2,서부지하-108,UNKNOWN_FAIL_CLOSED(기준 미확보 — 호스 연장 한계 수치 확인 못 함),C(전개 후보지점이 C 등급 폭 판정에 기반)
