집단,범위,이름수,포함,미포함,미포함률,95%CI,S1_대전전체_미포함률,S2_편집거리1_미포함중일치,비고
처리군A(진입곤란 지정 전체),대전,42,1,41,0.9762,"[0.8768, 0.9958]",0.9762,7,주 분석
대조군(대전 길·번길 − A),대전,2922,610,2312,0.7912,"[0.7761, 0.8056]",0.7909,374,
처리군B(26개소),대전,36,0,36,1.0,"[0.9036, 1.0]",1.0,5,선택 순환 — 검정 안 함
처리군A,동구,8,0,8,1.0,"[0.6756, 1.0]",1.0,2,
대조군,동구,564,63,501,0.8883,"[0.8596, 0.9117]",0.8883,63,
처리군A,중구,12,0,12,1.0,"[0.7575, 1.0]",1.0,2,
대조군,중구,607,54,553,0.911,"[0.8857, 0.9312]",0.911,54,
처리군A,서구,11,1,10,0.9091,"[0.6226, 0.9838]",0.9091,2,
대조군,서구,633,138,495,0.782,"[0.7482, 0.8124]",0.782,112,
처리군A,유성구,1,0,1,1.0,"[0.2065, 1.0]",1.0,0,
대조군,유성구,603,225,378,0.6269,"[0.5876, 0.6646]",0.6252,83,
처리군A,대덕구,10,0,10,1.0,"[0.7225, 1.0]",1.0,1,
대조군,대덕구,515,130,385,0.7476,"[0.7083, 0.7832]",0.7476,62,
