도로명,도로관리번호,폭m_road_bt,밴드판정,경형1.9,소형2.2,중형대형2.5,일반차량G2.0,슬롯_E_2.5,슬롯_EP_3.7,슬롯_EPG_5.7,arm1_arm2_폭축,arm3_폭축_판정주체
이태원로,182,9.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,246,6.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,397,6.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,785,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,1069,4.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,1772,2.0,BLOCKED,가능,불가,불가,가능,미성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,1834,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,1927,6.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,1975,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2143,4.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2325,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2521,6.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2694,4.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2759,4.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,2874,13.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,3053,5.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,3054,8.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,3073,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,3196,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로,3199,4.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로14길,1247,8.0,폭축_통과후보,가능,가능,가능,가능,성립,성립,성립,D(판정 보류),DFlowCore.evaluate_constraints
이태원로14길,1550,3.0,CONDITIONAL_C,가능,가능,가능,가능,성립,미성립,미성립,D(판정 보류),DFlowCore.evaluate_constraints
