시도,이름수,포함,포함률,미포함률,포함률95CI,길 이름,길 포함률,번길 이름,번길 포함률,번길 이름 비중,표준노드링크 배정 링크,혼재 앞자리 링크,상태
부산광역시,7322,1072,0.1464,0.8536,"[0.1385, 0.1547]",1419,0.1409,5903,0.1477,0.8062,40363,21841,시군구 혼재 앞자리 있음
서울특별시,13675,2292,0.1676,0.8324,"[0.1614, 0.174]",13672,0.1676,3,0.0,0.0002,62509,29741,시군구 혼재 앞자리 있음
충청남도,11706,2112,0.1804,0.8196,"[0.1736, 0.1875]",8306,0.1967,3400,0.1406,0.2904,120038,0,정상
인천광역시,5731,1076,0.1878,0.8122,"[0.1779, 0.1981]",275,0.2509,5456,0.1846,0.952,39640,816,시군구 혼재 앞자리 있음
경상북도,15679,3114,0.1986,0.8014,"[0.1924, 0.2049]",13032,0.2027,2647,0.1787,0.1688,166455,31365,시군구 혼재 앞자리 있음
대전광역시,2964,612,0.2065,0.7935,"[0.1923, 0.2214]",523,0.1338,2441,0.222,0.8235,36254,17113,시군구 혼재 앞자리 있음
세종특별자치시,1027,215,0.2093,0.7907,"[0.1856, 0.2353]",1027,0.2093,0,,0.0,11586,11586,시군구 혼재 앞자리 있음
경상남도,16029,3499,0.2183,0.7817,"[0.212, 0.2248]",10786,0.1966,5243,0.263,0.3271,162258,27966,시군구 혼재 앞자리 있음
충청북도,10140,2226,0.2195,0.7805,"[0.2116, 0.2277]",7715,0.2045,2425,0.2672,0.2392,94608,23884,시군구 혼재 앞자리 있음
제주특별자치도,3447,758,0.2199,0.7801,"[0.2064, 0.234]",2229,0.2158,1218,0.2274,0.3534,36534,0,정상
전북특별자치도,10571,2504,0.2369,0.7631,"[0.2289, 0.2451]",10569,0.2369,2,0.0,0.0002,125042,26273,시군구 혼재 앞자리 있음
강원특별자치도,7711,1886,0.2446,0.7554,"[0.2351, 0.2543]",5743,0.2539,1968,0.2175,0.2552,106349,0,정상
전남광주통합특별시,15808,3879,0.2454,0.7546,"[0.2387, 0.2522]",12572,0.2141,3236,0.3668,0.2047,179766,22751,시군구 혼재 앞자리 있음
경기도,23740,5869,0.2472,0.7528,"[0.2418, 0.2527]",7504,0.26,16236,0.2413,0.6839,261392,63296,시군구 혼재 앞자리 있음
대구광역시,4031,1159,0.2875,0.7125,"[0.2738, 0.3017]",4031,0.2875,0,,0.0,42429,16922,시군구 혼재 앞자리 있음
울산광역시,3363,1063,0.3161,0.6839,"[0.3006, 0.332]",2566,0.309,797,0.3388,0.237,36023,6913,시군구 혼재 앞자리 있음
전국(합산),152944,33336,0.218,0.782,"[0.2159, 0.22]"
시도 단순 평균,,,0.2208
