시도,위계,구간,결측,0값,3.0단일값,3.0비율,40미만,40미만비율,12~40밖,12~40밖비율,p10,p50,p90,단위
강원특별자치도(51),대로,564,0,0,97,0.1720,515,0.9131,,,2.53,9.0,30.0,미확인
강원특별자치도(51),로,15620,0,1,4957,0.3173,,,13722,0.8785,2.0,3.1,12.0,미확인
강원특별자치도(51),길,36009,0,0,11558,0.3210,,,,,2.0,3.0,10.0,미확인
강원특별자치도(51),기타,4,0,0,4,1.0000,,,,,3.0,3.0,3.0,미확인
강원특별자치도(51),전체,52197,0,1,16616,0.3183,,,,,2.0,3.0,10.0,미확인
경기,대로,1507,0,0,284,0.1885,1416,0.9396,,,3.0,5.0,20.0,미확인
경기,로,30666,0,2,6844,0.2232,,,26459,0.8628,3.0,4.0,15.0,미확인
경기,길,83588,0,9,23236,0.2780,,,,,3.0,4.0,8.0,미확인
경기,기타,24,0,0,0,0.0000,,,,,1.0,1.0,1.0,미확인
경기,전체,115785,0,11,30364,0.2622,,,,,3.0,4.0,10.0,미확인
경남,대로,1967,0,0,390,0.1983,1906,0.9690,,,3.0,8.0,20.0,미확인
경남,로,18320,0,12,4720,0.2576,,,15640,0.8537,2.0,5.0,13.0,미확인
경남,길,68506,0,48,22592,0.3298,,,,,2.0,4.0,8.0,미확인
경남,전체,88793,0,60,27702,0.3120,,,,,2.0,4.0,9.0,미확인
경북,대로,1210,0,1,242,0.2000,1188,0.9818,,,2.5,5.71,20.0,미확인
경북,로,25697,0,16,6242,0.2429,,,22456,0.8739,2.51,5.0,12.0,미확인
경북,길,96856,0,304,31017,0.3202,,,,,2.5,4.0,7.66,미확인
경북,전체,123763,0,321,37501,0.3030,,,,,2.5,4.0,8.0,미확인
대구,대로,293,0,0,23,0.0785,211,0.7201,,,2.0,8.0,51.0,미확인
대구,로,4681,0,4,557,0.1190,,,3334,0.7122,2.0,4.7,30.0,미확인
대구,길,20907,0,0,3208,0.1534,,,,,1.91,4.0,9.0,미확인
대구,전체,25881,0,4,3788,0.1464,,,,,2.0,4.0,11.0,미확인
대전,대로,150,0,0,36,0.2400,78,0.5200,,,3.0,35.0,50.0,미확인
대전,로,2252,0,0,496,0.2202,,,1020,0.4529,3.0,13.0,27.0,미확인
대전,길,6892,0,0,1410,0.2046,,,,,3.0,6.0,10.0,미확인
대전,전체,9294,0,0,1942,0.2090,,,,,3.0,6.0,20.0,미확인
부산,대로,617,0,0,42,0.0681,486,0.7877,,,2.0,10.0,40.0,미확인
부산,로,6012,0,3,286,0.0476,,,3234,0.5379,2.5,10.0,20.0,미확인
부산,길,24433,0,4,3367,0.1378,,,,,2.0,4.0,8.0,미확인
부산,기타,4,0,0,4,1.0000,,,,,3.0,3.0,3.0,미확인
부산,전체,31066,0,7,3699,0.1191,,,,,2.0,5.0,12.0,미확인
서울,대로,521,0,0,71,0.1363,445,0.8541,,,2.0,5.0,40.0,미확인
서울,로,8668,0,0,2013,0.2322,,,7320,0.8445,2.0,4.0,20.0,미확인
서울,길,57240,0,1,11781,0.2058,,,,,2.0,4.0,8.0,미확인
서울,기타,260,0,0,0,0.0000,,,,,1.0,1.0,8.15,미확인
서울,전체,66689,0,1,13865,0.2079,,,,,2.0,4.0,8.0,미확인
세종,대로,3,0,0,0,0.0000,1,0.3333,,,28.8,40.0,45.12,미확인
세종,로,1032,0,8,356,0.3450,,,750,0.7267,3.0,5.0,20.0,미확인
세종,길,3178,0,5,1261,0.3968,,,,,3.0,4.0,8.0,미확인
세종,전체,4213,0,13,1617,0.3838,,,,,3.0,4.0,10.0,미확인
울산,대로,57,0,0,9,0.1579,57,1.0000,,,3.0,12.0,22.0,미확인
울산,로,1752,0,1,213,0.1216,,,1166,0.6655,3.0,7.0,20.25,미확인
울산,길,8169,0,2,1710,0.2093,,,,,2.0,5.0,9.0,미확인
울산,기타,24,0,0,1,0.0417,,,,,2.0,5.5,11.7,미확인
울산,전체,10002,0,3,1933,0.1933,,,,,3.0,6.0,11.0,미확인
인천,대로,321,0,0,71,0.2212,231,0.7196,,,2.44,4.0,41.0,미확인
인천,로,4173,0,1,913,0.2188,,,3224,0.7726,2.0,4.56,20.0,미확인
인천,길,13871,0,0,3558,0.2565,,,,,2.0,4.0,10.0,미확인
인천,전체,18365,0,1,4542,0.2473,,,,,2.0,4.0,12.0,미확인
전남광주통합특별시(12),대로,771,0,35,144,0.1868,743,0.9637,,,2.0,3.31,13.0,미확인
전남광주통합특별시(12),로,19465,0,1076,4931,0.2533,,,17038,0.8753,2.0,4.0,12.0,미확인
전남광주통합특별시(12),길,80619,0,2761,21456,0.2661,,,,,2.0,3.05,8.0,미확인
전남광주통합특별시(12),전체,100855,0,3872,26531,0.2631,,,,,2.0,3.22,8.0,미확인
전북특별자치도(52),대로,428,0,0,36,0.0841,310,0.7243,,,2.0,10.0,50.0,미확인
전북특별자치도(52),로,19383,0,2,7521,0.3880,,,15293,0.7890,3.0,4.0,20.0,미확인
전북특별자치도(52),길,61228,0,3,27684,0.4521,,,,,2.5,3.0,8.0,미확인
전북특별자치도(52),전체,81039,0,5,35241,0.4349,,,,,3.0,3.0,9.0,미확인
제주,대로,21,0,0,3,0.1429,20,0.9524,,,3.0,4.13,10.0,미확인
제주,로,6777,0,1,2602,0.3839,,,6002,0.8856,3.0,4.0,12.0,미확인
제주,길,10920,0,0,2903,0.2658,,,,,3.0,4.0,8.0,미확인
제주,기타,1,0,0,0,0.0000,,,,,4.0,4.0,4.0,미확인
제주,전체,17719,0,1,5508,0.3109,,,,,3.0,4.0,8.0,미확인
충남,대로,804,0,0,195,0.2425,781,0.9714,,,3.0,5.87,23.0,미확인
충남,로,24384,0,2,7916,0.3246,,,21903,0.8983,3.0,4.0,12.0,미확인
충남,길,63143,0,7,29026,0.4597,,,,,3.0,3.0,6.0,미확인
충남,전체,88331,0,9,37137,0.4204,,,,,3.0,4.0,8.0,미확인
충북,대로,339,0,0,113,0.3333,333,0.9823,,,2.0,4.0,12.6,미확인
충북,로,9055,0,1,3586,0.3960,,,8081,0.8924,2.8,3.35,12.0,미확인
충북,길,32506,0,1,12713,0.3911,,,,,2.0,3.0,8.0,미확인
충북,전체,41900,0,2,16412,0.3917,,,,,2.0,3.0,8.0,미확인
전국,대로,9573,0,36,1756,0.1834,8721,0.9110,,,2.5,6.0,35.0,미확인
전국,로,197937,0,1130,54153,0.2736,,,166642,0.8419,2.27,4.0,15.0,미확인
전국,길,668065,0,3145,208480,0.3121,,,,,2.0,4.0,8.0,미확인
전국,기타,317,0,0,9,0.0284,,,,,1.0,1.0,8.55,미확인
전국,전체,875892,0,4311,264398,0.3019,,,,,2.0,4.0,9.0,미확인
