시도,위계,구간,결측,0,"(0,2]","(2,3)",=3,"(3,4]","(4,6]","(6,8]","(8,12)","[12,20)","[20,40)",≥40,단위
강원특별자치도(51),대로,564,0,0,55,8,97,54,34,20,128,8,111,49,미확인
강원특별자치도(51),로,15620,0,1,2536,296,4957,1717,1489,1864,851,1057,841,11,미확인
강원특별자치도(51),길,36009,0,0,7086,629,11558,5588,4324,1889,4435,369,130,1,미확인
강원특별자치도(51),기타,4,0,0,0,0,4,0,0,0,0,0,0,0,미확인
강원특별자치도(51),전체,52197,0,1,9677,933,16616,7359,5847,3773,5414,1434,1082,61,미확인
경기,대로,1507,0,0,56,22,284,249,433,158,74,70,70,91,미확인
경기,로,30666,0,2,2226,437,6844,6085,6088,2622,1967,2099,2108,188,미확인
경기,길,83588,0,9,6404,1037,23236,20622,15873,9233,4463,2163,538,10,미확인
경기,기타,24,0,0,24,0,0,0,0,0,0,0,0,0,미확인
경기,전체,115785,0,11,8710,1496,30364,26956,22394,12013,6504,4332,2716,289,미확인
경남,대로,1967,0,0,123,22,390,148,111,374,200,330,208,61,미확인
경남,로,18320,0,12,1859,195,4720,2038,1946,3138,1695,1632,1048,37,미확인
경남,길,68506,0,48,9183,442,22592,13059,11202,7768,2879,1171,162,0,미확인
경남,전체,88793,0,60,11165,659,27702,15245,13259,11280,4774,3133,1418,98,미확인
경북,대로,1210,0,1,73,106,242,120,257,102,35,130,122,22,미확인
경북,로,25697,0,16,1713,1328,6242,2345,2778,5605,2364,1645,1596,65,미확인
경북,길,96856,0,304,6110,7796,31017,19792,18580,8765,2905,1420,165,2,미확인
경북,전체,123763,0,321,7896,9230,37501,22257,21615,14472,5304,3195,1883,89,미확인
대구,대로,293,0,0,48,2,23,19,52,35,9,3,20,82,미확인
대구,로,4681,0,4,1066,152,557,479,424,344,203,350,997,105,미확인
대구,길,20907,0,0,4977,700,3208,2319,3821,3601,1304,851,124,2,미확인
대구,전체,25881,0,4,6091,854,3788,2817,4297,3980,1516,1204,1141,189,미확인
대전,대로,150,0,0,2,0,36,1,1,1,1,6,30,72,미확인
대전,로,2252,0,0,25,12,496,108,94,153,96,484,748,36,미확인
대전,길,6892,0,0,144,11,1410,1044,1273,1871,569,480,90,0,미확인
대전,전체,9294,0,0,171,23,1942,1153,1368,2025,666,970,868,108,미확인
부산,대로,617,0,0,73,15,42,52,50,63,20,22,149,131,미확인
부산,로,6012,0,3,567,105,286,351,470,705,723,1843,935,24,미확인
부산,길,24433,0,4,5699,399,3367,3632,4795,4124,1676,646,86,5,미확인
부산,기타,4,0,0,0,0,4,0,0,0,0,0,0,0,미확인
부산,전체,31066,0,7,6339,519,3699,4035,5315,4892,2419,2511,1170,160,미확인
서울,대로,521,0,0,75,0,71,81,96,43,31,31,17,76,미확인
서울,로,8668,0,0,1664,14,2013,1500,1281,456,312,510,838,80,미확인
서울,길,57240,0,1,10287,126,11781,11191,14386,5690,2211,1295,253,19,미확인
서울,기타,260,0,0,221,1,0,4,2,5,14,5,8,0,미확인
서울,전체,66689,0,1,12247,141,13865,12776,15765,6194,2568,1841,1116,175,미확인
세종,대로,3,0,0,0,0,0,0,0,0,0,0,1,2,미확인
세종,로,1032,0,8,42,8,356,90,86,108,50,153,129,2,미확인
세종,길,3178,0,5,205,49,1261,657,542,296,99,58,6,0,미확인
세종,전체,4213,0,13,247,57,1617,747,628,404,149,211,136,4,미확인
울산,대로,57,0,0,3,0,9,4,10,2,0,1,28,0,미확인
울산,로,1752,0,1,63,14,213,160,222,346,126,334,252,21,미확인
울산,길,8169,0,2,822,54,1710,897,1930,1820,596,290,46,2,미확인
울산,기타,24,0,0,4,4,1,1,4,2,5,2,1,0,미확인
울산,전체,10002,0,3,892,72,1933,1062,2166,2170,727,627,327,23,미확인
인천,대로,321,0,0,31,3,71,61,38,5,8,6,8,90,미확인
인천,로,4173,0,1,466,87,913,594,551,305,265,384,565,42,미확인
인천,길,13871,0,0,1487,91,3558,1838,2314,2223,1460,622,274,4,미확인
인천,전체,18365,0,1,1984,181,4542,2493,2903,2533,1733,1012,847,136,미확인
전남광주통합특별시(12),대로,771,0,35,147,39,144,100,119,52,49,25,33,28,미확인
전남광주통합특별시(12),로,19465,0,1076,2635,467,4931,2421,2189,1978,1246,1519,908,95,미확인
전남광주통합특별시(12),길,80619,0,2761,13972,1946,21456,15774,13321,6487,3406,1267,219,10,미확인
전남광주통합특별시(12),전체,100855,0,3872,16754,2452,26531,18295,15629,8517,4701,2811,1160,133,미확인
전북특별자치도(52),대로,428,0,0,76,8,36,20,54,18,3,47,48,118,미확인
전북특별자치도(52),로,19383,0,2,1097,307,7521,1651,1499,1809,1361,2157,1933,46,미확인
전북특별자치도(52),길,61228,0,3,5486,961,27684,7425,7682,7902,2831,1139,110,5,미확인
전북특별자치도(52),전체,81039,0,5,6659,1276,35241,9096,9235,9729,4195,3343,2091,169,미확인
제주,대로,21,0,0,2,0,3,4,8,1,2,0,0,1,미확인
제주,로,6777,0,1,471,30,2602,1451,987,244,215,495,280,1,미확인
제주,길,10920,0,0,672,24,2903,2175,2803,1597,530,192,23,1,미확인
제주,기타,1,0,0,0,0,0,1,0,0,0,0,0,0,미확인
제주,전체,17719,0,1,1145,54,5508,3631,3798,1842,747,687,303,3,미확인
충남,대로,804,0,0,20,3,195,146,141,26,98,57,95,23,미확인
충남,로,24384,0,2,957,153,7916,3349,4422,3037,2046,1656,825,21,미확인
충남,길,63143,0,7,4406,489,29026,16594,6816,4022,1089,534,160,0,미확인
충남,전체,88331,0,9,5383,645,37137,20089,11379,7085,3233,2247,1080,44,미확인
충북,대로,339,0,0,42,2,113,87,27,19,8,13,22,6,미확인
충북,로,9055,0,1,819,97,3586,1928,818,509,306,640,334,17,미확인
충북,길,32506,0,1,3862,211,12713,7251,4672,2410,868,469,46,3,미확인
충북,전체,41900,0,2,4723,310,16412,9266,5517,2938,1182,1122,402,26,미확인
