본문 구절,위치,추출,출처 유형,확인 URL·파일,조치,비고
"z19에서 객체 후보를 뽑았다. 원 마스크 3,838개.",서식2 문단 6,"3,838개",저장소 산출,deliverables/프리플라이트_결과.md | docs/판정기준.md | data/vworld/national/derived/sam_vehicle_width.json,유지,
", 그 값으로 시공간 슬롯을 나눈다 — 대전 26개소 37조각 전량.",서식2 문단 7,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
으로 시공간 슬롯을 나눈다 — 대전 26개소 37조각 전량.,서식2 문단 7,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
있다(재난현장 표준작전절차 2026.5) — SOP 200 3.1.1.1 선,서식2 문단 13,SOP 200,1차 원문,출처 일람 「기준 문서」 행,유지,
소방차량의 진입 등에 장애가 없는 장소」 · SOP 103 2.2.1 상황실,서식2 문단 13,SOP 103,1차 원문,출처 일람 「기준 문서」 행,유지,
도로망의 포함 범위 밖에 있다 — 전국에서 78.2 %,서식2 문단 15,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,"16개 시도 합산 이름 152,944 · 포함 33,336 재계산 일치"
◦ 전국 16개 시도 전부에서 골,서식2 문단 16,16개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"6-09-14)의 포함 범위 밖이다 — 합산 152,944개 이름 중 포함 3",서식2 문단 16,"152,944개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"이다 — 합산 152,944개 이름 중 포함 33,336개(21.8 %, 9",서식2 문단 16,"33,336개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"152,944개 이름 중 포함 33,336개(21.8 %, 95 % CI",서식2 문단 16,21.8 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | data/vworld/national/derived/ngii_bound_cover.json | data/vworld/national/derived/ngii_medial_width.json,유지,
