추출,문맥키,출처 유형,확인 URL·파일,조치,비고
78.2 %,직접 연계 불가율 — 전국,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,"16개 시도 합산 이름 152,944 · 포함 33,336 재계산 일치 · 078 P1-8 소제목 표현 변경"
78.2 %,밖 78.2,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,재계산 일치
31.6 %,울산,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,울산 포함률 0.3161
78.2 %,전국 합산,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,도표 1 캡션
97.6 %,처리군,저장소 산출,deliverables/이름포함률_대전.csv,유지,41/42 = 0.9762
18.5 %p,Fisher,저장소 산출,deliverables/이름포함률_대전.csv,유지,97.6 − 79.1 · Fisher 단측 p = 0.00069 재계산(scipy)
"11,125건","11,125건",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"행 수 재계산 일치(원자료, 비추적)"
"7,948건",71.4,저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"도로명 끝 「길·번길」 행 재계산 일치(원자료, 비추적)"
71.4 %,"7,948",저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"7,948/11,125 재계산"
"7,948건",100 %,저장소 산출,data/vworld/national/raw/daejeon_sprd_geom.jsonl,유지,"road_bt 값 있음 7,948 재계산"
"2,763건",314건,저장소 산출,data/vworld/national/derived/ngii_width_probe.json,유지,"fill.by_rddv_scls n 합 2,763 · sites center_within_30m 합 314"
29.7 %,11 (29.7,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 2.5 m 미만 11 · 3.7~5.5 m 11 재계산
3.7 ~ 5.7 m,3.7 ~ 5.7,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,4단 표 구간 경계 5.7 = E 2.5 + P 1.2 + G 2.0(CSV 임계근거) · 073 §2
5.7 m,5.7 m 이상,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 이상 3 재계산 · 073 §2
8.1 %,3 (8.1,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,5.5 m 이상 3 재계산
6.00 m,road_bt 6.00,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,변정7길 road_bt 6
91.9 %,34개(91.9,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,문장 수정 완료,"34 = 최종채택 5.7 m 미만(073 §2 경계 5.5→5.7, 값 불변) · 3.0 m 미만은 14"
"9,974개",문헌J,1차 원문,출처 일람 문헌 J(본문 확인) 방윤식·가칠오·유기윤(2012),유지,선행연구 인용 수치
"8,207개",문헌J,1차 원문,출처 일람 문헌 J(본문 확인),유지,선행연구 인용 수치
82.28 %,문헌J,1차 원문,출처 일람 문헌 J(본문 확인),유지,선행연구 인용 수치
5.7 m,서지 않는 조각(5.7 m 미만),저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,최종채택 5.7 m 미만 34 재계산 · 073 §2(5.5~5.7 사이 최종채택 값 없음)
5.7 m,내접폭 5.7 m 미만,저장소 산출,deliverables/통행가능폭_주차차감_37조각.csv,유지,내접폭차감 5.7 m 미만 23 재계산(5.61 m 1조각 추가) · 073 §2
