시군구,조각,도로명,허용구간_정확일치,본선도로명,본선_허용구간수,본선_허용구분,본선_허용시간
동구,계족로330번길,계족로330번길,없음,계족로,2,편측,11:30~13:30 (시간제 주차허용); 11:30∼14:00 (점심시간)
동구,계족로336번길,계족로336번길,없음,계족로,2,편측,11:30~13:30 (시간제 주차허용); 11:30∼14:00 (점심시간)
동구,동대전로110번길,동대전로110번길,없음,,0,,
동구,역전시장길7,역전시장길,없음,,0,,
동구,역전시장길75,역전시장길,없음,,0,,
중구,목척3길,목척3길,없음,,0,,
중구,목척5길,목척5길,없음,,0,,
동구,진수길,진수길,없음,,0,,
동구,진보길,진보길,없음,,0,,
동구,수양길,수양길,없음,,0,,
중구,대종로601번길,대종로601번길,없음,,0,,
동구,대전천북로116번길,대전천북로116번길,없음,,0,,
서구,갈마중로28번길,갈마중로28번길,없음,,0,,
서구,갈마중로30번길,갈마중로30번길,없음,,0,,
서구,갈마중로46번길,갈마중로46번길,없음,,0,,
서구,문정로170번길,문정로170번길,없음,,0,,
서구,문정로112번안길,문정로112번안길,없음,,0,,
서구,남선로9번길,남선로9번길,없음,,0,,
대덕구,계족산로5번안길 22,계족산로5번안길,없음,,0,,
대덕구,계족로608번길 30,계족로608번길,없음,계족로,2,편측,11:30~13:30 (시간제 주차허용); 11:30∼14:00 (점심시간)
대덕구,대전로1375번길 22-14,대전로1375번길,없음,대전로,4,양측/편측,09:00∼18:00 (시간제 주차허용); 09:00∼18:00 (평일); 20:00∼07:00 (시간제 주차허용)
대덕구,대전로1397번길 50,대전로1397번길,없음,대전로,4,양측/편측,09:00∼18:00 (시간제 주차허용); 09:00∼18:00 (평일); 20:00∼07:00 (시간제 주차허용)
대덕구,청자마을길 28,청자마을길,없음,,0,,
대덕구,태양마을길 28,태양마을길,없음,,0,,
대덕구,동심9길,동심9길,없음,,0,,
대덕구,늘봄2길,늘봄2길,없음,,0,,
대덕구,동춘당로31번길,동춘당로31번길,없음,동춘당로,1,편측,09:00∼17:00 (평일)
서구,도솔로175번길,도솔로175번길,없음,,0,,
서구,변정1길,변정1길,없음,,0,,
서구,변정7길,변정7길,없음,,0,,
중구,당디로124번길,당디로124번길,없음,,0,,
중구,충무로68번길,충무로68번길,없음,충무로,1,양측,09:00~18:00 (시간제 주차허용)
중구,보문산공원로530번길,보문산공원로530번길,없음,,0,,
중구,대둔산로414번길,대둔산로414번길,없음,,0,,
중구,보문산로122번길,보문산로122번길,없음,보문산로,1,양측,20:00∼07:00 심야시간 주차허용
중구,대둔산로386번길,대둔산로386번길,없음,,0,,
서구,계백로1158번길,계백로1158번길,없음,,0,,
