연번,조각,사람_대수,AI_확정_대수,차이,사람_판독폭(m),W_worst(m),폭_대조
1,계족로330번길,0,0,0,"[3, 4]",,잔여노면 판독 없음
1,계족로336번길,0,1,1,"[3, 4]",2.32,잔여노면 판독 없음
5,목척3길,0,0,0,"[5, 7]",,잔여노면 판독 없음
5,목척5길,1,1,0,"[3, 4]",1.43,잔여노면 판독 없음
10,갈마중로28번길,0,0,0,"[4, 5]",,잔여노면 판독 없음
10,갈마중로30번길,2,1,-1,"[6, 7]",3.78,잔여노면 판독 없음
10,갈마중로46번길,2,0,-2,"[5, 8]",,잔여노면 판독 없음
15,대전로1375번길 22-14,null,0,대조 불가,,,잔여노면 판독 없음
27,도솔로175번길,화면 서측 가로변 여러 대,0,대조 불가,"[5, 7]",,잔여노면 판독 없음
28,변정1길,1,3,2,"[5, 6]",2.15,잔여노면 판독 없음
28,변정7길,3,3,0,"[6, 7]",3.92,부합 (판독 3.5~4 m · W_worst 3.92 m)
