시군구,조각,도로명,폭,투입가능차종,근거
동구,계족로330번길,계족로330번길,4.5,전 차종,전폭 2.5 이하 차종 전부
동구,계족로336번길,계족로336번길,2.42,경형·소형 펌프차,KFS 0008 3.3 소형 전폭 2.2 이하
동구,동대전로110번길,동대전로110번길,7.43,전 차종,전폭 2.5 이하 차종 전부
동구,역전시장길7,역전시장길,2.54,전 차종,전폭 2.5 이하 차종 전부
동구,역전시장길75,역전시장길,5.82,전 차종,전폭 2.5 이하 차종 전부
중구,목척3길,목척3길,5.03,전 차종,전폭 2.5 이하 차종 전부
중구,목척5길,목척5길,5.0,전 차종,전폭 2.5 이하 차종 전부
동구,진수길,진수길,1.35,투입 가능 차종 없음,전폭 최소 1.9 m(경형 펌프차) 미달
동구,진보길,진보길,1.91,경형 펌프차,KFS 0008 3.3 경형 전폭 1.9 이하
동구,수양길,수양길,,NOT_COMPUTED,
중구,대종로601번길,대종로601번길,5.48,전 차종,전폭 2.5 이하 차종 전부
동구,대전천북로116번길,대전천북로116번길,4.18,전 차종,전폭 2.5 이하 차종 전부
서구,갈마중로28번길,갈마중로28번길,4.0,전 차종,전폭 2.5 이하 차종 전부
서구,갈마중로30번길,갈마중로30번길,3.79,전 차종,전폭 2.5 이하 차종 전부
서구,갈마중로46번길,갈마중로46번길,5.91,전 차종,전폭 2.5 이하 차종 전부
서구,문정로170번길,문정로170번길,7.73,전 차종,전폭 2.5 이하 차종 전부
서구,문정로112번안길,문정로112번안길,5.93,전 차종,전폭 2.5 이하 차종 전부
서구,남선로9번길,남선로9번길,5.78,전 차종,전폭 2.5 이하 차종 전부
대덕구,계족산로5번안길 22,계족산로5번안길,14.99,전 차종,전폭 2.5 이하 차종 전부
대덕구,계족로608번길 30,계족로608번길,7.99,전 차종,전폭 2.5 이하 차종 전부
대덕구,대전로1375번길 22-14,대전로1375번길,1.81,투입 가능 차종 없음,전폭 최소 1.9 m(경형 펌프차) 미달
대덕구,대전로1397번길 50,대전로1397번길,,NOT_COMPUTED,
대덕구,청자마을길 28,청자마을길,3.49,전 차종,전폭 2.5 이하 차종 전부
대덕구,태양마을길 28,태양마을길,,NOT_COMPUTED,
대덕구,동심9길,동심9길,2.02,경형 펌프차,KFS 0008 3.3 경형 전폭 1.9 이하
대덕구,늘봄2길,늘봄2길,4.0,전 차종,전폭 2.5 이하 차종 전부
대덕구,동춘당로31번길,동춘당로31번길,5.02,전 차종,전폭 2.5 이하 차종 전부
서구,도솔로175번길,도솔로175번길,5.18,전 차종,전폭 2.5 이하 차종 전부
서구,변정1길,변정1길,5.61,전 차종,전폭 2.5 이하 차종 전부
서구,변정7길,변정7길,2.99,전 차종,전폭 2.5 이하 차종 전부
중구,당디로124번길,당디로124번길,5.76,전 차종,전폭 2.5 이하 차종 전부
중구,충무로68번길,충무로68번길,4.56,전 차종,전폭 2.5 이하 차종 전부
중구,보문산공원로530번길,보문산공원로530번길,3.97,전 차종,전폭 2.5 이하 차종 전부
중구,대둔산로414번길,대둔산로414번길,3.5,전 차종,전폭 2.5 이하 차종 전부
중구,보문산로122번길,보문산로122번길,,NOT_COMPUTED,
중구,대둔산로386번길,대둔산로386번길,2.15,경형 펌프차,KFS 0008 3.3 경형 전폭 1.9 이하
서구,계백로1158번길,계백로1158번길,6.71,전 차종,전폭 2.5 이하 차종 전부
