시군구,조각,도로명,road_bt,확정차량수,횡점유중앙(m),횡점유최대(m),W_pass(m),SAM판정(W_worst),내접폭차감(m),W_worst(m),최종채택(m),채택근거(둘중작은값),판정(최종채택),기존판정(내접폭),판정변화,비고,분리방식,일반차량_진입차단_필요,임계근거
동구,계족로330번길,계족로330번길,3,0,,,3.0,차량없음_road_bt적용,4.5,3.0,3.0,W_worst,CONDITIONAL_C,폭축_통과후보,강등,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,계족로336번길,계족로336번길,4,2,1.82,2.0,2.18,BLOCKED,2.42,2.0,2.0,W_worst,BLOCKED,BLOCKED,동일,,시간,Y,E=1.9 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,동대전로110번길,동대전로110번길,4,2,2.06,2.08,1.94,BLOCKED,7.43,1.92,1.92,W_worst,BLOCKED,폭축_통과후보,강등,,시간,Y,E=1.9 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,역전시장길7,역전시장길,3,1,3.06,3.06,-0.06,BLOCKED,2.54,-0.06,-0.06,W_worst,BLOCKED,CONDITIONAL_C,강등,,통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,역전시장길75,역전시장길,3,0,,,3.0,차량없음_road_bt적용,5.82,3.0,3.0,W_worst,CONDITIONAL_C,폭축_통과후보,강등,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,목척3길,목척3길,8,1,2.29,2.29,5.71,폭축_통과후보,5.03,5.71,5.03,차감폭,폭축_통과후보,폭축_통과후보,동일,,공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,목척5길,목척5길,4,2,2.09,2.41,1.91,BLOCKED,5.0,1.59,1.59,W_worst,BLOCKED,폭축_통과후보,강등,,통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,진수길,진수길,3,0,,,3.0,차량없음_road_bt적용,1.35,3.0,1.35,차감폭,BLOCKED,BLOCKED,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,진보길,진보길,3,2,2.98,3.72,0.02,BLOCKED,1.91,-0.72,-0.72,W_worst,BLOCKED,BLOCKED,동일,,통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,수양길,수양길,3,0,,,3.0,차량없음_road_bt적용,,3.0,3.0,W_worst(다른 값 없음),CONDITIONAL_C,,비교 불가,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
