조각,SAM원마스크,규격선험통과,회랑안,확정(둘다),규격선험만통과했으나_회랑밖(=오탐제거수),오탐제거율(%)
계족로330번길,107,17,1,0,17,100.0
계족로336번길,79,9,7,2,7,77.8
동대전로110번길,108,17,8,2,15,88.2
역전시장길7,113,18,12,1,17,94.4
역전시장길75,137,36,5,0,36,100.0
목척3길,109,22,13,1,21,95.5
목척5길,135,23,4,2,21,91.3
진수길,28,1,2,0,1,100.0
진보길,76,10,10,2,8,80.0
수양길,62,9,1,0,9,100.0
대종로601번길,121,22,29,6,16,72.7
대전천북로116번길,87,17,6,2,15,88.2
갈마중로28번길,91,20,8,0,20,100.0
갈마중로30번길,98,22,15,6,16,72.7
갈마중로46번길,118,16,14,3,13,81.2
문정로170번길,109,21,21,2,19,90.5
문정로112번안길,94,14,12,3,11,78.6
남선로9번길,121,16,9,1,15,93.8
계족산로5번안길 22,115,21,22,4,17,81.0
계족로608번길 30,109,19,10,0,19,100.0
대전로1375번길 22-14,111,22,2,0,22,100.0
대전로1397번길 50,91,19,4,2,17,89.5
청자마을길 28,166,36,10,2,34,94.4
태양마을길 28,155,26,5,0,26,100.0
동심9길,94,18,4,1,17,94.4
늘봄2길,96,14,1,0,14,100.0
동춘당로31번길,79,16,5,0,16,100.0
도솔로175번길,108,19,4,1,18,94.7
변정1길,84,19,7,3,16,84.2
변정7길,93,15,21,5,10,66.7
당디로124번길,124,20,28,6,14,70.0
충무로68번길,92,24,8,4,20,83.3
보문산공원로530번길,126,24,7,0,24,100.0
대둔산로414번길,88,20,3,0,20,100.0
보문산로122번길,118,24,11,6,18,75.0
대둔산로386번길,105,25,3,1,24,96.0
계백로1158번길,91,18,19,3,15,83.3
합계,3838,709,351,71,638,90.0
